Rank,Athlete,Score
,Oleg Verniaiev (UKR),16.0
,Yuya Kamoto (JPN),15.9
,Chihiro Yoshioka (JPN),15.6
4.0,Ferhat Arican (TUR),15.341
5.0,Akash Modi (USA),15.2
6.0,Cen Yu (CHN),14.966
7.0,Jo Yeong-gwang (KOR),14.866
8.0,Volodymyr Okachev (UKR),14.566
