Position,Gymnast,Unnamed: 2,Notes
,Jossimar Calvo Moreno (COL),15.7,
,Manrique Larduet (CUB),15.65,
,Samuel Mikulak (USA),15.45,
4.0,Jorge Giraldo Lopez (COL),15.375,
5.0,Donnell Whittenburg (USA),15.35,
6.0,Daniel Corral (MEX),15.175,
7.0,Caio Souza (BRA),13.725,
8.0,Francisco Junior (BRA),12.6,
