Position,Gymnast,Unnamed: 2,Notes
1,Jossimar Calvo Moreno (COL),15.7,Q
2,Manrique Larduet (CUB),15.6,Q
3,Samuel Mikulak (USA),15.55,Q
4,Caio Souza (BRA),15.45,Q
5,Jorge Giraldo Lopez (COL),15.3,Q
6,Daniel Corral (MEX),15.0,Q
7,Donnell Whittenburg (USA),14.9,Q
8,Francisco Junior (BRA),14.75,Q
9,Kevin Lytwyn (CAN),14.65,R
10,Osvaldo Martinez (ARG),14.55,R
11,Randy Leru (CUB),14.5,R
