Athlete,FX,PH,SR,VT,PB,HB
akash modi,13.433,13.533,13.966,14.1,14.533,13.9
allan bower,13.666,14.2,12.5,14.066,13.2,13.266
samuel mikulak,14.4,14.3,14.3,14.6,15.441,14.866
shane wiskus,13.466,12.866,,,14.033,14.166
trevor howard,,,14.033,13.933,,
yul moldauer,14.466,13.133,13.8,14.533,14.666,13.033
