Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
21,5.6,8.566,0.0,14.166,2019,0,97,26,False,True
23,5.7,8.466,0.0,14.166,2019,0,186,27,False,True
24,6.3,8.166,-0.3,14.166,2019,0,85,13,False,True
25,6.0,8.441,-0.3,14.141,2019,0,243,66,False,True
26,5.6,8.533,0.0,14.133,2019,0,190,7,False,True
27,5.7,8.433,0.0,14.133,2019,0,251,74,False,True
27,5.7,8.433,0.0,14.133,2019,0,331,74,False,True
29,5.6,8.6,-0.1,14.1,2019,0,297,52,False,True
30,5.8,8.3,0.0,14.1,2019,0,229,37,False,True
31,5.9,8.2,0.0,14.1,2019,0,226,25,False,True
32,5.7,8.366,0.0,14.066,2019,0,228,80,False,True
33,5.9,8.166,0.0,14.066,2019,0,202,60,False,True
34,5.5,8.533,0.0,14.033,2019,0,58,9,False,True
35,5.7,8.333,0.0,14.033,2019,0,49,66,False,True
36,5.9,8.133,0.0,14.033,2019,0,63,50,False,True
37,5.5,8.5,0.0,14.0,2019,0,227,37,False,True
37,5.5,8.5,0.0,14.0,2019,0,47,50,False,True
39,5.9,8.1,0.0,14.0,2019,0,311,12,False,True
40,5.5,8.466,0.0,13.966,2019,0,83,68,False,True
41,5.4,8.533,0.0,13.933,2019,0,92,8,False,True
41,5.4,8.533,0.0,13.933,2019,0,172,28,False,True
43,5.8,8.433,-0.3,13.933,2019,0,164,40,False,True
44,5.6,8.333,0.0,13.933,2019,0,13,73,False,True
45,5.7,8.233,0.0,13.933,2019,0,254,80,False,True
46,5.6,8.3,0.0,13.9,2019,0,94,66,False,True
47,5.6,8.366,-0.1,13.866,2019,0,338,40,False,True
48,5.3,8.533,0.0,13.833,2019,0,188,37,False,True
49,5.4,8.433,0.0,13.833,2019,0,260,17,False,True
50,5.5,8.333,0.0,13.833,2019,0,196,17,False,True
51,5.9,7.933,0.0,13.833,2019,0,148,25,False,True
52,5.6,8.2,0.0,13.8,2019,0,74,47,False,True
53,5.7,8.1,0.0,13.8,2019,0,15,41,False,True
54,5.8,8.0,0.0,13.8,2019,0,146,80,False,True
55,5.9,7.9,0.0,13.8,2019,0,273,64,False,True
56,5.8,8.066,-0.1,13.766,2019,0,138,61,False,True
57,5.3,8.433,0.0,13.733,2019,0,241,66,False,True
58,5.7,8.033,0.0,13.733,2019,0,328,63,False,True
59,5.2,8.5,0.0,13.7,2019,0,4,33,False,True
60,5.3,8.4,0.0,13.7,2019,0,81,10,False,True
61,5.9,7.8,0.0,13.7,2019,0,40,9,False,True
62,4.9,8.766,0.0,13.666,2019,0,42,3,False,True
63,5.7,8.266,-0.3,13.666,2019,0,161,80,False,True
