Rank,D,E,ND,Total,D.1,E.1,ND.1,Total.1,year,Average,medal,Name,Nation
6,5.2,9.0,-0.1,14.1,5.2,9.2,0.0,14.4,2020,14.25,0,53,23
7,5.6,8.1,0.0,13.7,5.6,9.15,0.0,14.75,2020,14.225,0,11,23
8,5.2,8.95,0.0,14.15,5.2,9.05,0.0,14.25,2020,14.2,0,1,23
8,5.6,8.1,0.0,13.7,5.6,9.1,0.0,14.7,2020,14.2,0,43,23
10,5.2,8.75,0.0,13.95,5.2,9.05,0.0,14.25,2020,14.1,0,28,23
11,5.2,8.25,0.0,13.45,5.2,9.25,0.0,14.45,2020,13.95,0,60,23
12,5.2,8.8,0.0,14.0,5.2,8.75,-0.1,13.85,2020,13.925,0,16,23
13,5.2,9.1,0.0,14.3,5.2,8.3,0.0,13.5,2020,13.9,0,50,23
14,5.2,8.5,0.0,13.7,5.2,8.8,0.0,14.0,2020,13.85,0,2,23
15,5.2,8.3,0.0,13.5,5.2,8.5,-0.1,13.6,2020,13.55,0,8,23
16,4.8,8.95,0.0,13.75,5.2,8.1,0.0,13.3,2020,13.525,0,35,23
16,5.2,8.75,-0.1,13.85,5.2,8.0,0.0,13.2,2020,13.525,0,54,23
18,5.2,8.9,0.0,14.1,5.2,7.65,-0.1,12.75,2020,13.425,0,44,23
19,4.8,8.85,0.0,13.65,4.0,9.15,0.0,13.15,2020,13.4,0,48,23
20,5.2,8.35,0.0,13.55,4.8,7.25,-0.3,11.75,2020,12.65,0,26,23
1,6.0,9.2,0.0,15.2,5.6,8.966,0.0,14.566,2020,14.883,1,58,19
2,5.6,8.966,0.0,14.566,5.6,9.166,0.0,14.766,2020,14.666,0,3,11
3,5.6,9.066,0.0,14.666,5.6,9.033,0.0,14.633,2020,14.6495,0,27,22
4,5.6,9.066,0.0,14.666,5.2,9.266,0.0,14.466,2020,14.566,0,30,1
5,5.2,9.2,0.0,14.4,5.6,9.033,0.0,14.633,2020,14.5165,0,62,3
6,5.6,8.9,0.0,14.5,5.6,8.9,0.0,14.5,2020,14.5,0,13,25
7,5.6,9.066,0.0,14.666,5.6,8.8,-0.1,14.3,2020,14.483,0,0,21
8,5.6,8.933,-0.1,14.433,5.2,9.233,0.0,14.433,2020,14.433,0,32,9
9,5.2,9.2,0.0,14.4,5.2,9.0,0.0,14.2,2020,14.3,0,59,3
10,5.6,8.7,0.0,14.3,5.2,8.9,0.0,14.1,2020,14.2,0,25,12
