Rank,Athlete,Nation,D,E,ND,Total,year,round
117,alexander benda,AUT,4.6,8.1,0.0,12.7,2019.0,qual
118,frank rijken,NED,4.7,8.0,0.0,12.7,2019.0,qual
119,manuel martinez,COL,5.3,7.4,0.0,12.7,2019.0,qual
120,abdulla azimov,UZB,4.3,8.366,0.0,12.666,2019.0,qual
121,victor rostagno,URU,5.1,7.533,0.0,12.633,2019.0,qual
122,david rumbutis,SWE,4.3,8.3,0.0,12.6,2019.0,qual
123,rafael rosendi,CUB,5.5,7.075,0.0,12.575,2019.0,qual
124,jimmy verbaeys,BEL,4.5,8.066,0.0,12.566,2019.0,qual
124,filip sasnal,POL,4.5,8.066,0.0,12.566,2019.0,qual
126,oskar kirmes,FIN,4.7,7.866,0.0,12.566,2019.0,qual
126,lukasz borkowski,POL,4.7,7.866,0.0,12.566,2019.0,qual
128,konstantin kuzovkov,GEO,4.4,8.133,0.0,12.533,2019.0,qual
129,ferhat arican,TUR,4.7,7.833,0.0,12.533,2019.0,qual
130,benedek tomcsanyi,HUN,4.8,7.733,0.0,12.533,2019.0,qual
131,tomas gonzalez,CHI,4.9,7.633,0.0,12.533,2019.0,qual
132,ilyas azizov,KAZ,4.4,8.1,0.0,12.5,2019.0,qual
133,gabriel swan,AUS,4.5,8.0,0.0,12.5,2019.0,qual
134,michel bletterman,NED,4.7,7.8,0.0,12.5,2019.0,qual
135,valgard reinhardsson,ISL,4.3,8.166,0.0,12.466,2019.0,qual
136,david jessen,CZE,4.1,8.333,0.0,12.433,2019.0,qual
137,loo phay xing,MAS,4.2,8.233,0.0,12.433,2019.0,qual
138,andres perez,PUR,4.4,7.966,0.0,12.366,2019.0,qual
139,soma laszlo csorvasi,HUN,4.6,7.766,0.0,12.366,2019.0,qual
140,mohamed afify,EGY,4.4,7.933,0.0,12.333,2019.0,qual
141,razvan-denis marc,ROU,4.7,7.633,0.0,12.333,2019.0,qual
142,le thanh tung,VIE,4.9,7.433,0.0,12.333,2019.0,qual
143,luka van den keybus,BEL,4.4,7.9,0.0,12.3,2019.0,qual
144,yogeshwar singh,IND,4.0,8.266,0.0,12.266,2019.0,qual
144,olegs ivanovs,LAT,4.0,8.266,0.0,12.266,2019.0,qual
146,frantisek cerny,CZE,4.2,8.066,0.0,12.266,2019.0,qual
147,audrys nin reyes,DOM,4.3,7.966,0.0,12.266,2019.0,qual
148,adam steele,IRL,4.2,8.033,0.0,12.233,2019.0,qual
149,joseph fox,TRI,4.0,8.2,0.0,12.2,2019.0,qual
150,israel chiriboga,ECU,4.4,7.8,0.0,12.2,2019.0,qual
151,robert kirmes,FIN,4.8,7.366,0.0,12.166,2019.0,qual
152,slavomir michnak,SVK,4.1,8.033,0.0,12.133,2019.0,qual
153,murad agharzayev,AZE,4.4,7.733,0.0,12.133,2019.0,qual
153,isaac nunez,MEX,4.4,7.733,0.0,12.133,2019.0,qual
155,ahmed al dyani,QAT,4.2,7.9,0.0,12.1,2019.0,qual
156,ryan sheppard,HUN,4.7,7.4,0.0,12.1,2019.0,qual
157,matthias schwab,AUT,4.0,8.066,0.0,12.066,2019.0,qual
158,joel alvarez,CHI,4.5,7.566,0.0,12.066,2019.0,qual
159,dinh phuong thanh,VIE,4.2,7.833,0.0,12.033,2019.0,qual
160,julien saleur,FRA,4.7,7.333,0.0,12.033,2019.0,qual
161,carlos calvo,COL,5.7,6.266,0.0,11.966,2019.0,qual
162,bidzina sitchinava,GEO,4.1,7.833,0.0,11.933,2019.0,qual
162,yerbol jantykov,KAZ,4.1,7.833,0.0,11.933,2019.0,qual
164,tomas kuzmickas,LTU,4.2,7.733,0.0,11.933,2019.0,qual
165,andres martinez,COL,4.7,7.2,0.0,11.9,2019.0,qual
166,caleb faulk,JAM,4.6,7.275,0.0,11.875,2019.0,qual
167,eeli mikkola,FIN,3.9,7.966,0.0,11.866,2019.0,qual
168,rihards trams,LAT,4.2,7.633,0.0,11.833,2019.0,qual
169,arian leon prado,PER,4.0,7.8,0.0,11.8,2019.0,qual
170,bojan dejanovic,SRB,3.5,8.266,0.0,11.766,2019.0,qual
171,tikumporn surintornta,THA,4.6,7.166,0.0,11.766,2019.0,qual
172,daniel radovesnicky,CZE,4.0,7.733,0.0,11.733,2019.0,qual
172,enkhtulga altansukh,MGL,4.0,7.733,0.0,11.733,2019.0,qual
174,yahor sharamkou,BLR,4.3,7.366,0.0,11.666,2019.0,qual
175,ahmed anis maoudj,ALG,3.8,7.833,0.0,11.633,2019.0,qual
176,ri wi chol,none,4.9,6.733,0.0,11.633,2019.0,qual
177,ioane jimsheleishvili,GEO,4.4,7.2,0.0,11.6,2019.0,qual
178,elias koski,FIN,4.9,6.666,0.0,11.566,2019.0,qual
179,dawid weglarz,POL,3.4,8.1,0.0,11.5,2019.0,qual
180,martin gudmundsson,ISL,3.5,8.0,0.0,11.5,2019.0,qual
181,saleem naghouj,JOR,4.3,7.2,0.0,11.5,2019.0,qual
182,dzianis sanuvonh,BLR,4.4,7.1,0.0,11.5,2019.0,qual
183,hillal metidji,ALG,4.2,7.266,0.0,11.466,2019.0,qual
184,lucas bitencourt,BRA,4.6,6.833,0.0,11.433,2019.0,qual
185,kevin crovetto,MON,3.9,7.5,0.0,11.4,2019.0,qual
186,jamorn prommanee,THA,4.0,7.4,0.0,11.4,2019.0,qual
187,vitalijs kardasovs,LAT,3.4,7.9,0.0,11.3,2019.0,qual
188,stian skjerahaug,NOR,3.7,7.533,0.0,11.233,2019.0,qual
189,adickxon trejo,VEN,3.6,7.866,-0.3,11.166,2019.0,qual
190,andres valverde,CRC,3.6,7.5,0.0,11.1,2019.0,qual
191,petar vefic,SRB,3.6,7.466,0.0,11.066,2019.0,qual
192,abellino rubio,GUA,4.7,6.333,0.0,11.033,2019.0,qual
193,jesus moreto,PER,3.4,7.6,0.0,11.0,2019.0,qual
194,fabio chicas,ESA,3.8,6.933,0.0,10.733,2019.0,qual
195,nabil zouhair,MAR,3.4,7.233,0.0,10.633,2019.0,qual
196,tarik soto,CRC,3.4,7.108,0.0,10.508,2019.0,qual
197,gerardo cabrera,URU,3.4,7.0,0.0,10.4,2019.0,qual
198,juan abad godoy,ECU,2.8,6.8,0.0,9.6,2019.0,qual
199,al al jafar,KUW,2.9,6.333,0.0,9.233,2019.0,qual
200,meshari al deriwish,KUW,2.8,6.4,0.0,9.2,2019.0,qual
201,sabah al subaiei,KUW,1.7,6.116,-4.3,3.516,2019.0,qual
1,alex diab,USA,5.8,8.8,0.0,14.6,2020.0,final
1,alex diab,USA,5.8,9.05,0.0,14.85,2020.0,final
2,marvin kimble,USA,5.8,8.4,0.0,14.2,2020.0,final
2,marvin kimble,USA,5.8,8.8,0.0,14.6,2020.0,final
3,sean melton,USA,5.8,8.6,0.0,14.4,2020.0,final
3,sean melton,USA,5.8,8.15,0.0,13.95,2020.0,final
4,colin van wicklen,USA,5.7,8.45,0.0,14.15,2020.0,final
5,yul moldauer,USA,5.7,8.2,0.0,13.9,2020.0,final
5,yul moldauer,USA,5.7,8.4,0.0,14.1,2020.0,final
6,cameron bock,USA,5.3,8.75,0.0,14.05,2020.0,final
6,cameron bock,USA,5.3,8.6,0.0,13.9,2020.0,final
7,ian gunther,USA,5.3,8.7,0.0,14.0,2020.0,final
7,ian gunther,USA,5.3,8.6,0.0,13.9,2020.0,final
8,paul juda,USA,5.1,8.5,0.0,13.6,2020.0,final
8,paul juda,USA,5.1,8.25,0.0,13.35,2020.0,final
9,akash modi,USA,5.2,7.6,0.0,12.8,2020.0,final
9,akash modi,USA,5.6,8.45,0.0,14.05,2020.0,final
9,matt wenske,USA,5.4,8.25,0.0,13.65,2020.0,final
9,matt wenske,USA,5.4,7.8,0.0,13.2,2020.0,final
11,isaiah drake,USA,5.3,8.2,0.0,13.5,2020.0,final
11,isaiah drake,USA,5.3,7.95,0.0,13.25,2020.0,final
12,timothy wang,USA,5.5,7.6,0.0,13.1,2020.0,final
12,timothy wang,USA,5.5,7.85,0.0,13.35,2020.0,final
13,colt walker,USA,4.9,8.1,0.0,13.0,2020.0,final
13,colt walker,USA,4.9,8.5,0.0,13.4,2020.0,final
14,nicolas kuebler,USA,4.5,8.6,0.0,13.1,2020.0,final
14,nicolas kuebler,USA,4.5,8.4,0.0,12.9,2020.0,final
15,kiwan watts,USA,4.7,8.05,0.0,12.75,2020.0,final
15,kiwan watts,USA,4.7,8.4,0.0,13.1,2020.0,final
15,robert neff,USA,4.9,8.25,0.0,13.15,2020.0,final
15,robert neff,USA,4.8,7.9,0.0,12.7,2020.0,final
17,gage dyer,USA,4.0,8.7,0.0,12.7,2020.0,final
17,gage dyer,USA,4.0,8.5,0.0,12.5,2020.0,final
