Rank,Athlete,Nation,D,E,ND,Total,year,round
76,robert tvorogal,LTU,4.7,8.5,0.0,13.2,2018.0,qual
76,frank rijken,NED,4.7,8.5,0.0,13.2,2018.0,qual
78,ludovico edalli,ITA,4.8,8.4,0.0,13.2,2018.0,qual
79,william broman,SWE,4.9,8.3,0.0,13.2,2018.0,qual
80,ng kiu chung,HKG,6.1,7.1,0.0,13.2,2018.0,qual
81,lee jun-ho,SKR,4.8,8.366,0.0,13.166,2018.0,qual
82,christopher remkes,AUS,5.1,8.066,0.0,13.166,2018.0,qual
83,kim han-sol,SKR,5.4,7.766,0.0,13.166,2018.0,qual
84,oliver hegi,SUI,4.9,8.233,0.0,13.133,2018.0,qual
85,bae ga-ram,SKR,4.9,8.2,0.0,13.1,2018.0,qual
86,jossimar calvo,COL,5.1,7.966,0.0,13.066,2018.0,qual
87,rokas guscinas,LTU,5.2,7.866,0.0,13.066,2018.0,qual
88,elias koski,FIN,4.5,8.533,0.0,13.033,2018.0,qual
89,ri wi chol,none,5.1,7.933,0.0,13.033,2018.0,qual
90,le thanh tung,VIE,4.8,8.2,0.0,13.0,2018.0,qual
91,zachary clay,CAN,5.3,7.7,0.0,13.0,2018.0,qual
92,bernardo almeida,POR,4.9,8.066,0.0,12.966,2018.0,qual
93,ilyas azizov,KAZ,4.4,8.533,0.0,12.933,2018.0,qual
94,mitchell morgans,AUS,4.9,8.033,0.0,12.933,2018.0,qual
95,hsu ping-chien,none,5.6,7.333,0.0,12.933,2018.0,qual
96,oskar kirmes,FIN,4.7,8.166,0.0,12.866,2018.0,qual
97,maxime gentges,BEL,4.9,7.966,0.0,12.866,2018.0,qual
98,andrey medvedev,ISR,4.8,8.033,0.0,12.833,2018.0,qual
99,francisco barretto,BRA,4.9,7.933,0.0,12.833,2018.0,qual
100,michalis krasias,CYP,4.2,8.6,0.0,12.8,2018.0,qual
101,rasuljon abdurakhimov,UZB,4.7,8.1,0.0,12.8,2018.0,qual
102,petrix barbosa,POR,5.1,7.7,0.0,12.8,2018.0,qual
103,milad karimi,KAZ,4.5,8.266,0.0,12.766,2018.0,qual
103,akim mussayev,KAZ,4.5,8.266,0.0,12.766,2018.0,qual
105,cory patterson,CAN,4.7,8.066,0.0,12.766,2018.0,qual
106,lucas bitencourt,BRA,5.5,7.266,0.0,12.766,2018.0,qual
107,ri yong min,none,5.6,7.166,0.0,12.766,2018.0,qual
108,yordan aleksandrov,BUL,4.8,7.933,0.0,12.733,2018.0,qual
109,santiago mayol,ARG,5.0,7.733,0.0,12.733,2018.0,qual
110,david rumbutis,SWE,4.3,8.416,0.0,12.716,2018.0,qual
111,franz card,FIN,4.2,8.5,0.0,12.7,2018.0,qual
112,jon gunnarsson,ISL,4.6,8.1,0.0,12.7,2018.0,qual
113,saba abesadze,GEO,4.8,7.9,0.0,12.7,2018.0,qual
114,raman antropau,BLR,4.0,8.633,0.0,12.633,2018.0,qual
115,mikhail koudinov,NZL,4.6,8.033,0.0,12.633,2018.0,qual
116,harald wibye,NOR,4.1,8.5,0.0,12.6,2018.0,qual
117,andrey likhovitskiy,BLR,4.6,8.0,0.0,12.6,2018.0,qual
118,adam babos,HUN,4.9,7.7,0.0,12.6,2018.0,qual
119,georgios chatziefstathiou,GRE,4.4,8.166,0.0,12.566,2018.0,qual
120,vitalii arseniev,GEO,4.6,7.966,0.0,12.566,2018.0,qual
121,stian skjerahaug,NOR,4.5,8.033,0.0,12.533,2018.0,qual
122,antoine borello,FRA,4.6,7.933,0.0,12.533,2018.0,qual
122,ferhat arican,TUR,4.6,7.933,0.0,12.533,2018.0,qual
124,noah kuavita,BEL,4.7,7.833,0.0,12.533,2018.0,qual
124,sofus heggemsnes,NOR,4.7,7.833,0.0,12.533,2018.0,qual
126,antonios tantalidis,GRE,4.0,8.525,0.0,12.525,2018.0,qual
127,ryan sheppard,HUN,4.3,8.2,0.0,12.5,2018.0,qual
128,clay mason stephens,AUS,4.2,8.266,0.0,12.466,2018.0,qual
129,ivan tikhonov,AZE,5.0,7.466,0.0,12.466,2018.0,qual
130,isaac nuñez,MEX,4.5,7.933,0.0,12.433,2018.0,qual
131,julian jato,ARG,4.2,8.2,0.0,12.4,2018.0,qual
131,tyson bull,AUS,4.2,8.2,0.0,12.4,2018.0,qual
133,akobir khamrokulov,UZB,4.9,7.466,0.0,12.366,2018.0,qual
134,milos paunovic,SRB,5.1,7.266,0.0,12.366,2018.0,qual
135,caleb faulk,JAM,4.9,7.433,0.0,12.333,2018.0,qual
136,murad agharzayev,AZE,4.4,7.9,0.0,12.3,2018.0,qual
137,botond kardos,HUN,4.6,7.7,0.0,12.3,2018.0,qual
138,stephen lewis,JAM,4.5,7.766,0.0,12.266,2018.0,qual
139,kim vanström,SWE,4.3,7.933,0.0,12.233,2018.0,qual
140,ethan dick,NZL,3.8,8.4,0.0,12.2,2018.0,qual
141,slavomir michnak,SVK,3.9,8.3,0.0,12.2,2018.0,qual
142,michael sorokine,ISR,4.2,8.0,0.0,12.2,2018.0,qual
143,pham phuoc hung,VIE,4.6,7.566,0.0,12.166,2018.0,qual
144,frantisek cerny,CZE,4.1,8.033,0.0,12.133,2018.0,qual
144,daniel radovesnicky,CZE,4.1,8.033,0.0,12.133,2018.0,qual
146,shiao yu-jan,none,4.3,7.833,0.0,12.133,2018.0,qual
146,abdulla azimov,UZB,4.3,7.833,0.0,12.133,2018.0,qual
148,paul degouy,FRA,4.5,7.633,0.0,12.133,2018.0,qual
149,karl idesjö,SWE,4.6,7.533,0.0,12.133,2018.0,qual
150,henrik stiansen,NOR,4.7,7.408,0.0,12.108,2018.0,qual
151,lukas kranzlmüller,AUT,3.7,8.4,0.0,12.1,2018.0,qual
152,adam steele,IRL,4.2,7.9,0.0,12.1,2018.0,qual
152,valgard reinhardsson,ISL,4.2,7.9,0.0,12.1,2018.0,qual
154,matthias schwab,AUT,4.5,7.6,0.0,12.1,2018.0,qual
154,daniel aguero,PER,4.5,7.6,0.0,12.1,2018.0,qual
156,konstantin kuzovkov,GEO,4.6,7.5,0.0,12.1,2018.0,qual
157,dzianis sanuvonh,BLR,4.7,7.4,0.0,12.1,2018.0,qual
158,severin kranzlmüller,AUT,4.2,7.866,0.0,12.066,2018.0,qual
159,joshua valle,MEX,5.5,6.566,0.0,12.066,2018.0,qual
160,ilan korchak,ISR,4.2,7.833,0.0,12.033,2018.0,qual
161,nikola jurkovic,SRB,4.1,7.9,0.0,12.0,2018.0,qual
162,ahmed al dyani,QAT,4.3,7.7,0.0,12.0,2018.0,qual
163,randy leru,CUB,4.4,7.6,0.0,12.0,2018.0,qual
164,daniel ponizil,CZE,3.4,8.566,0.0,11.966,2018.0,qual
165,artem dolgopyat,ISR,4.3,7.666,0.0,11.966,2018.0,qual
166,simao almeida,POR,5.2,6.766,0.0,11.966,2018.0,qual
167,han chung hyo,none,5.3,6.666,0.0,11.966,2018.0,qual
168,tikumporn surintornta,THA,4.7,7.233,0.0,11.933,2018.0,qual
169,bobur toshpulatov,UZB,3.9,8.0,0.0,11.9,2018.0,qual
170,bram louwije,NED,3.7,8.1,0.0,11.8,2018.0,qual
171,jorden o’connell-inns,NZL,4.2,7.566,0.0,11.766,2018.0,qual
172,dmitrii govorov,GEO,4.4,7.333,0.0,11.733,2018.0,qual
173,petar vefic,SRB,4.2,7.366,0.0,11.566,2018.0,qual
174,wei an terry tay,SIN,4.2,7.333,0.0,11.533,2018.0,qual
175,tomas kuzmickas,LTU,4.9,6.6,0.0,11.5,2018.0,qual
176,andres martinez,COL,4.6,6.733,0.0,11.333,2018.0,qual
177,carlos calvo,COL,4.6,6.7,0.0,11.3,2018.0,qual
178,phan ngoc hung,VIE,3.3,7.966,0.0,11.266,2018.0,qual
179,timur bairamov,AZE,3.4,7.766,0.0,11.166,2018.0,qual
180,eythor baldursson,ISL,3.9,7.1,0.0,11.0,2018.0,qual
181,israel chiriboga,ECU,3.2,7.533,0.0,10.733,2018.0,qual
182,svjatoslav solovjev,CZE,2.8,8.166,-0.3,10.666,2018.0,qual
183,loo phay xing,MAS,3.8,6.6,0.0,10.4,2018.0,qual
184,arian leon,PER,2.7,7.566,0.0,10.266,2018.0,qual
185,saleem naghouj,JOR,3.7,6.866,-0.3,10.266,2018.0,qual
186,yerbol jantykov,KAZ,4.0,6.1,-0.3,9.8,2018.0,qual
187,ahmed mosa,QAT,3.7,6.1,0.0,9.8,2018.0,qual
188,petar velickovic,SRB,4.1,5.7,0.0,9.8,2018.0,qual
189,patricio razo,MEX,3.2,7.2,-4.0,6.4,2018.0,qual
190,filip ude,CRO,2.2,8.383,-4.3,6.283,2018.0,qual
191,leonardo kusan,CRO,2.5,7.633,-4.0,6.133,2018.0,qual
192,jamorn prommanee,THA,2.9,7.3,-4.3,5.9,2018.0,qual
193,lee chih-kai,none,3.6,6.3,-4.0,5.9,2018.0,qual
194,anton kovacevic,CRO,2.1,7.666,-4.3,5.466,2018.0,qual
1,ibrahim colak,TUR,6.2,8.733,0.0,14.933,2019.0,final
2,marco lodadio,ITA,6.3,8.6,0.0,14.9,2019.0,final
3,samir aït saïd,FRA,6.2,8.6,0.0,14.8,2019.0,final
4,eleftherios petrounias,GRE,6.3,8.433,0.0,14.733,2019.0,final
5,arthur zanetti,BRA,6.2,8.525,0.0,14.725,2019.0,final
6,denis abliazin,RUS,6.3,8.366,0.0,14.666,2019.0,final
7,artur tovmasyan,ARM,6.1,8.1,0.0,14.2,2019.0,final
8,nick klessing,none,6.1,8.066,0.0,14.166,2019.0,final
1,ibrahim colak,TUR,6.2,8.658,0.0,14.858,2019.0,qual
2,arthur zanetti,BRA,6.1,8.6,0.0,14.7,2019.0,qual
3,samir aït saïd,FRA,6.2,8.5,0.0,14.7,2019.0,qual
4,eleftherios petrounias,GRE,6.3,8.4,0.0,14.7,2019.0,qual
5,marco lodadio,ITA,6.3,8.366,0.0,14.666,2019.0,qual
6,denis abliazin,RUS,6.1,8.5,0.0,14.6,2019.0,qual
7,nick klessing,none,6.0,8.566,0.0,14.566,2019.0,qual
8,artur tovmasyan,ARM,6.1,8.466,0.0,14.566,2019.0,qual
9,igor radivilov,UKR,6.3,8.233,0.0,14.533,2019.0,qual
10,federico molinari,ARG,6.2,8.3,0.0,14.5,2019.0,qual
11,mahdi ahmad kohani,IRI,6.2,8.233,0.0,14.433,2019.0,qual
12,nikita nagornyy,RUS,6.0,8.4,0.0,14.4,2019.0,qual
13,ali zahran,EGY,6.2,8.2,0.0,14.4,2019.0,qual
14,andrei muntean,ROU,5.9,8.433,0.0,14.333,2019.0,qual
15,zou jingyuan,CHN,5.8,8.5,0.0,14.3,2019.0,qual
16,vinzenz höck,AUT,6.2,8.1,0.0,14.3,2019.0,qual
17,yuya kamoto,JPN,6.2,8.083,0.0,14.283,2019.0,qual
18,konstantinos konstantinidis,GRE,6.0,8.133,0.0,14.133,2019.0,qual
18,artur dalaloyan,RUS,6.0,8.133,0.0,14.133,2019.0,qual
20,ng kiu chung,HKG,6.2,7.933,0.0,14.133,2019.0,qual
21,deng shudi,CHN,6.2,7.9,0.0,14.1,2019.0,qual
22,fabian de luna,MEX,6.0,8.066,0.0,14.066,2019.0,qual
22,caio souza,BRA,6.0,8.066,0.0,14.066,2019.0,qual
24,kazuma kaya,JPN,6.1,7.933,0.0,14.033,2019.0,qual
24,trevor howard,USA,6.1,7.933,0.0,14.033,2019.0,qual
26,andreas toba,none,5.8,8.2,0.0,14.0,2019.0,qual
27,sun wei,CHN,5.9,8.1,0.0,14.0,2019.0,qual
28,wataru tanigawa,JPN,6.0,7.966,0.0,13.966,2019.0,qual
29,oleg verniaiev,UKR,5.7,8.233,0.0,13.933,2019.0,qual
30,ahmet önder,TUR,6.0,7.933,0.0,13.933,2019.0,qual
31,nikita simonov,AZE,5.8,8.066,0.0,13.866,2019.0,qual
31,joe fraser,none,5.8,8.066,0.0,13.866,2019.0,qual
33,dominick cunningham,none,5.5,8.333,0.0,13.833,2019.0,qual
34,xiao ruoteng,CHN,5.7,8.133,0.0,13.833,2019.0,qual
35,yu chao wei,none,5.8,8.033,0.0,13.833,2019.0,qual
36,artur davtyan,ARM,5.3,8.5,0.0,13.8,2019.0,qual
37,yul moldauer,USA,5.6,8.2,0.0,13.8,2019.0,qual
38,yang hak-seon,SKR,5.8,8.0,0.0,13.8,2019.0,qual
39,william emard,CAN,5.9,7.9,0.0,13.8,2019.0,qual
40,james hall,none,5.6,8.166,0.0,13.766,2019.0,qual
40,park min-soo,SKR,5.6,8.166,0.0,13.766,2019.0,qual
42,tang chia-hung,none,5.7,8.066,0.0,13.766,2019.0,qual
43,eddy yusof,SUI,5.5,8.233,0.0,13.733,2019.0,qual
44,samuel mikulak,USA,5.4,8.3,0.0,13.7,2019.0,qual
45,casimir schmidt,NED,5.4,8.266,0.0,13.666,2019.0,qual
46,manrique larduet,CUB,5.6,8.066,0.0,13.666,2019.0,qual
47,yevgen yudenkov,UKR,5.7,7.966,0.0,13.666,2019.0,qual
48,yunus gündogdu,TUR,5.9,7.766,0.0,13.666,2019.0,qual
48,akash modi,USA,5.9,7.766,0.0,13.666,2019.0,qual
50,kakeru tanigawa,JPN,5.4,8.233,0.0,13.633,2019.0,qual
51,nestor abad,ESP,5.5,8.1,0.0,13.6,2019.0,qual
52,lee jung-hyo,SKR,5.4,8.166,0.0,13.566,2019.0,qual
53,christian baumann,SUI,5.1,8.433,0.0,13.533,2019.0,qual
54,kim han-sol,SKR,5.4,8.133,0.0,13.533,2019.0,qual
55,lee chih kai,none,5.3,8.2,0.0,13.5,2019.0,qual
56,petrix barbosa,POR,5.6,7.9,0.0,13.5,2019.0,qual
57,petro pakhniuk,UKR,5.3,8.166,0.0,13.466,2019.0,qual
58,ivan tikhonov,AZE,5.3,8.133,0.0,13.433,2019.0,qual
58,rene cournoyer,CAN,5.3,8.133,0.0,13.433,2019.0,qual
