Rank,Athlete,Nation,D,E,ND,year,round,Total
118,petar vefic,SRB,4.3,8.266,0.0,2019,qual,12.565999999999999
119,santiago mayol,ARG,4.5,8.066,0.0,2019,qual,12.566
120,matvei petrov,ALB,4.9,7.666,0.0,2019,qual,12.566
121,loo phay xing,MAS,5.1,7.466,0.0,2019,qual,12.565999999999999
122,enkhtulga altansukh,MGL,4.6,7.933,0.0,2019,qual,12.533
123,bernardo almeida,POR,4.9,7.633,0.0,2019,qual,12.533000000000001
124,slavomir michnak,SVK,4.4,8.1,0.0,2019,qual,12.5
125,krisztofer meszaros,HUN,4.5,8.0,0.0,2019,qual,12.5
125,abdulla azimov,UZB,4.5,8.0,0.0,2019,qual,12.5
127,adria vera,ESP,5.0,7.5,0.0,2019,qual,12.5
128,jim man hin,HKG,4.5,7.966,0.0,2019,qual,12.466000000000001
129,bojan dejanovic,SRB,4.0,8.433,0.0,2019,qual,12.433
130,reiss beckford,JAM,4.9,7.533,0.0,2019,qual,12.433
131,francisco barretto,BRA,6.1,6.333,0.0,2019,qual,12.433
132,robert kirmes,FIN,4.3,8.1,0.0,2019,qual,12.399999999999999
133,jackson payne,CAN,5.7,6.7,0.0,2019,qual,12.4
134,rihards trams,LAT,4.1,8.266,0.0,2019,qual,12.366
135,joe fraser,none,4.9,7.433,0.0,2019,qual,12.333
136,ilyas azizov,KAZ,4.2,8.066,0.0,2019,qual,12.266000000000002
137,odin kalvø,NOR,4.0,8.233,0.0,2019,qual,12.233
137,kim vanström,SWE,4.0,8.233,0.0,2019,qual,12.233
139,razvan-denis marc,ROU,4.9,7.333,0.0,2019,qual,12.233
140,jose lopezma,PUR,5.0,7.233,0.0,2019,qual,12.233
141,martin gudmundsson,ISL,4.0,8.2,0.0,2019,qual,12.2
142,filip sasnal,POL,4.2,8.0,0.0,2019,qual,12.2
143,karl idesjö,SWE,4.9,7.266,0.0,2019,qual,12.166
144,frantisek cerny,CZE,5.2,6.966,0.0,2019,qual,12.166
145,akash modi,USA,5.8,6.366,0.0,2019,qual,12.166
146,joseph fox,TRI,3.8,8.333,0.0,2019,qual,12.133
147,daniel villafañe,ARG,4.2,7.933,0.0,2019,qual,12.133
147,vitalijs kardasovs,LAT,4.2,7.933,0.0,2019,qual,12.133
149,lucas bitencourt,BRA,4.9,7.233,0.0,2019,qual,12.133
150,saleem naghouj,JOR,4.1,8.0,0.0,2019,qual,12.1
151,kevin crovetto,MON,4.4,7.7,0.0,2019,qual,12.100000000000001
152,dinh phuong thanh,VIE,4.9,7.2,0.0,2019,qual,12.100000000000001
153,daniel corral,MEX,5.0,7.1,0.0,2019,qual,12.1
154,pietro giachino,NOR,5.2,6.9,0.0,2019,qual,12.100000000000001
155,victor rostagno,URU,4.6,7.466,0.0,2019,qual,12.065999999999999
156,tikumporn surintornta,THA,4.4,7.6,0.0,2019,qual,12.0
157,ioane jimsheleishvili,GEO,4.6,7.4,0.0,2019,qual,12.0
158,casimir schmidt,NED,4.8,7.2,0.0,2019,qual,12.0
159,daan kenis,BEL,5.2,6.8,0.0,2019,qual,12.0
160,michael tone,AUS,4.0,7.933,0.0,2019,qual,11.933
161,toma modoianu-zseder,ROU,4.3,7.6,0.0,2019,qual,11.899999999999999
162,petrix barbosa,POR,5.5,6.366,0.0,2019,qual,11.866
163,bidzina sitchinava,GEO,4.3,7.533,0.0,2019,qual,11.833
164,ashish kumar,IND,4.6,7.166,0.0,2019,qual,11.766
165,epke zonderland,NED,5.3,6.466,0.0,2019,qual,11.766
166,dawid weglarz,POL,4.5,7.233,0.0,2019,qual,11.733
167,mikhail koudinov,NZL,4.6,7.133,0.0,2019,qual,11.733
168,tomas kuzmickas,LTU,4.8,6.933,0.0,2019,qual,11.733
169,ahmed al dyani,QAT,4.5,7.166,0.0,2019,qual,11.666
169,uche eke,NGR,4.5,7.166,0.0,2019,qual,11.666
171,lukasz borkowski,POL,4.8,6.866,0.0,2019,qual,11.666
172,caio souza,BRA,5.8,5.866,0.0,2019,qual,11.666
173,aditya rana,IND,4.0,7.6,0.0,2019,qual,11.6
174,adam steele,IRL,3.9,7.666,0.0,2019,qual,11.566
175,konstantin kuzovkov,GEO,3.9,7.533,0.0,2019,qual,11.433
176,mustafa arca,TUR,4.4,7.033,0.0,2019,qual,11.433
177,murad agharzayev,AZE,4.2,7.2,0.0,2019,qual,11.4
178,julien saleur,FRA,4.9,6.5,0.0,2019,qual,11.4
179,jesus moreto,PER,4.4,6.933,0.0,2019,qual,11.333
180,tarik soto,CRC,4.3,6.866,0.0,2019,qual,11.166
180,israel chiriboga,ECU,4.3,6.866,0.0,2019,qual,11.166
182,vladyslav hryko,UKR,4.6,6.533,0.0,2019,qual,11.133
183,artem dolgopyat,ISR,4.7,6.4,0.0,2019,qual,11.100000000000001
184,jamorn prommanee,THA,4.0,7.066,0.0,2019,qual,11.065999999999999
185,fabian de luna,MEX,4.0,6.933,0.0,2019,qual,10.933
186,ali al jafar,KUW,3.2,7.433,0.0,2019,qual,10.633
187,hillal metidji,ALG,4.6,5.966,0.0,2019,qual,10.565999999999999
188,abellino rubio,GUA,2.7,7.733,0.0,2019,qual,10.433
189,arian leon prado,PER,3.2,7.233,0.0,2019,qual,10.433
190,isaac cotto,PUR,3.9,6.466,0.0,2019,qual,10.366
191,gerardo cabrera,URU,2.9,7.433,0.0,2019,qual,10.333
192,meshari al deriwish,KUW,3.4,6.666,0.0,2019,qual,10.066
193,ri wi chol,none,5.3,4.733,0.0,2019,qual,10.033
194,mohamed aziz trabelsi,TUN,3.6,6.366,0.0,2019,qual,9.966
195,sabah al subaiei,KUW,2.6,6.5,0.0,2019,qual,9.1
196,andres valverde,CRC,2.4,6.666,0.0,2019,qual,9.066
197,nabil zouhair,MAR,3.8,5.233,0.0,2019,qual,9.033
198,fabio chicas,ESA,2.7,6.266,0.0,2019,qual,8.966000000000001
199,nahel clement bouanane,MAR,2.6,5.033,0.0,2019,qual,7.633000000000001
1,colin van wicklen,USA,5.6,8.35,0.0,2020,final,13.95
1,colin van wicklen,USA,5.6,8.05,0.0,2020,final,13.65
2,sam mikulak,USA,6.0,8.35,0.0,2020,final,14.35
2,sam mikulak,USA,6.3,6.9,0.0,2020,final,13.2
3,paul juda,USA,5.0,8.65,0.0,2020,final,13.65
3,paul juda,USA,5.0,8.85,0.0,2020,final,13.85
4,marvin kimble,USA,6.1,7.45,0.0,2020,final,13.55
4,marvin kimble,USA,6.3,7.55,0.0,2020,final,13.85
5,grant breckenridge,USA,5.6,8.5,0.0,2020,final,14.1
5,grant breckenridge,USA,5.9,7.0,0.0,2020,final,12.9
6,ian gunther,USA,4.9,8.3,0.0,2020,final,13.200000000000001
6,ian gunther,USA,4.9,8.55,0.0,2020,final,13.450000000000001
7,shane wiskus,USA,5.7,7.95,0.0,2020,final,13.65
7,shane wiskus,USA,5.9,7.05,0.0,2020,final,12.95
8,nicolas kuebler,USA,4.2,9.3,0.0,2020,final,13.5
8,nicolas kuebler,USA,4.2,8.85,0.0,2020,final,13.05
8,gage dyer,USA,5.2,8.2,0.0,2020,final,13.399999999999999
8,gage dyer,USA,5.2,7.95,0.0,2020,final,13.15
10,isaiah drake,USA,4.7,8.65,0.0,2020,final,13.350000000000001
10,isaiah drake,USA,4.4,8.75,0.0,2020,final,13.15
11,allan bower,USA,5.3,8.15,0.0,2020,final,13.45
11,allan bower,USA,5.5,7.35,0.0,2020,final,12.85
12,robert neff,USA,6.0,7.0,0.0,2020,final,13.0
12,robert neff,USA,6.0,6.55,0.0,2020,final,12.55
13,colt walker,USA,4.4,8.35,0.0,2020,final,12.75
13,colt walker,USA,4.4,8.25,0.0,2020,final,12.65
14,akash modi,USA,6.0,7.15,0.0,2020,final,13.15
14,akash modi,USA,5.6,6.45,0.0,2020,final,12.05
15,yul moldauer,USA,4.7,7.3,0.0,2020,final,12.0
15,yul moldauer,USA,5.4,7.7,0.0,2020,final,13.100000000000001
16,kiwan watts,USA,4.8,6.6,0.0,2020,final,11.399999999999999
16,kiwan watts,USA,5.1,8.5,0.0,2020,final,13.6
16,genki suzuki,USA,4.9,6.75,0.0,2020,final,11.65
16,genki suzuki,USA,5.6,7.75,0.0,2020,final,13.35
18,matt wenske,USA,5.0,7.2,0.0,2020,final,12.2
18,matt wenske,USA,5.0,7.5,0.0,2020,final,12.5
19,alex diab,USA,5.1,7.4,0.0,2020,final,12.5
19,alex diab,USA,4.8,7.3,0.0,2020,final,12.1
20,cameron bock,USA,4.9,7.55,0.0,2020,final,12.45
20,cameron bock,USA,5.2,6.7,0.0,2020,final,11.9
