Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,year,Average
15,shek wai hung,HKG,6.0,7.866,-0.1,13.766,6.0,7.966,-0.3,13.666,2020,13.716000000000001
16,farukh nabiyev,KAZ,5.2,9.066,0.0,14.266,4.8,8.6,-0.3,13.1,2020,13.683
17,ivan tikhonov,AZE,5.6,8.033,0.0,13.633,4.8,8.933,0.0,13.733,2020,13.683
18,murad agharzayev,AZE,5.2,8.966,-0.1,14.066,5.2,8.033,0.0,13.233,2020,13.6495
19,marian dragulescu,ROU,5.0,9.066,0.0,14.066,5.2,8.0,0.0,13.2,2020,13.633
20,sebastian gawronski,POL,5.2,8.133,-0.1,13.233,5.2,8.666,-0.1,13.766,2020,13.499500000000001
21,jan gwynn timbang,PHI,5.2,8.7,-0.1,13.8,4.0,9.033,0.0,13.033,2020,13.4165
22,mustafa arca,TUR,5.2,8.0,-0.3,12.9,5.2,8.666,0.0,13.866,2020,13.383
23,konstantin kuzovkov,GEO,4.8,8.866,0.0,13.666,5.2,8.1,-0.2,13.1,2020,13.383
24,georgios garivaldis,GRE,5.2,8.233,-0.3,13.133,4.8,8.7,0.0,13.5,2020,13.3165
25,filip sasnal,POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.0
1,artur davtyan,ARM,5.6,9.5,0.0,15.1,5.6,9.333,0.0,14.933,2019,15.0165
2,dmitrii lankin,RUS,5.6,9.266,0.0,14.866,5.2,9.4,0.0,14.6,2019,14.733
3,igor radivilov,UKR,5.6,9.133,0.0,14.733,5.6,8.966,0.0,14.566,2019,14.6495
4,andrey medvedev,ISR,5.6,9.166,0.0,14.766,5.6,9.0,-0.1,14.5,2019,14.633
5,loris frasca,FRA,5.6,9.2,-0.3,14.5,5.6,8.9,-0.1,14.4,2019,14.45
6,giarnni regini-moran,none,5.6,9.133,0.0,14.733,5.4,8.0,0.0,13.4,2019,14.066500000000001
