Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
36,5.5,7.1,0.0,12.6,2018,0,52,78,False,True
37,5.6,7.0,0.0,12.6,2018,0,279,64,False,True
38,5.7,6.866,0.0,12.566,2018,0,120,78,False,True
39,5.9,6.633,0.0,12.533,2018,0,31,8,False,True
40,5.6,6.833,0.0,12.433,2018,0,192,18,False,True
41,6.4,6.025,0.0,12.425,2018,1,159,40,False,True
42,4.6,7.8,0.0,12.4,2018,0,25,37,False,True
43,5.1,7.3,0.0,12.4,2018,0,220,24,False,True
44,5.2,7.2,0.0,12.4,2018,0,266,16,False,True
45,5.2,7.166,0.0,12.366,2018,0,333,13,False,True
46,5.3,7.066,0.0,12.366,2018,0,287,52,False,True
47,5.2,7.133,0.0,12.333,2018,0,60,50,False,True
48,4.8,7.5,0.0,12.3,2018,0,37,9,False,True
49,5.3,6.966,0.0,12.266,2018,0,81,30,False,True
50,6.1,6.166,0.0,12.266,2018,0,1,76,False,True
51,5.3,6.9,0.0,12.2,2018,0,247,78,False,True
52,4.7,7.466,0.0,12.166,2018,0,59,55,False,True
53,4.4,7.733,0.0,12.133,2018,0,124,18,False,True
54,4.9,7.233,0.0,12.133,2018,0,85,77,False,True
55,4.1,8.0,0.0,12.1,2018,0,115,52,False,True
56,4.7,7.366,0.0,12.066,2018,0,145,7,False,True
57,5.8,6.233,0.0,12.033,2018,0,26,78,False,True
58,6.0,6.033,0.0,12.033,2018,0,116,3,False,True
59,5.1,6.9,0.0,12.0,2018,0,284,78,False,True
60,5.7,6.3,0.0,12.0,2018,0,15,75,False,True
61,5.8,6.2,0.0,12.0,2018,0,14,72,False,True
62,5.6,6.383,0.0,11.983,2018,0,141,78,False,True
63,5.8,6.166,0.0,11.966,2018,0,98,72,False,True
64,4.0,7.933,0.0,11.933,2018,0,250,19,False,True
65,5.8,6.133,0.0,11.933,2018,0,76,6,False,True
66,5.1,6.825,0.0,11.925,2018,0,296,24,False,True
67,4.5,7.4,0.0,11.9,2018,0,123,36,False,True
68,5.6,6.3,0.0,11.9,2018,0,45,66,False,True
69,4.0,7.866,0.0,11.866,2018,0,73,19,False,True
70,5.7,6.108,0.0,11.808,2018,0,185,78,False,True
71,4.6,7.2,0.0,11.8,2018,0,80,68,False,True
72,5.2,6.566,0.0,11.766,2018,0,38,61,False,True
73,5.5,6.241,0.0,11.741,2018,0,36,36,False,True
74,4.6,7.133,0.0,11.733,2018,0,90,25,False,True
75,3.5,8.133,0.0,11.633,2018,0,106,25,False,True
76,4.6,7.033,0.0,11.633,2018,0,32,26,False,True
77,4.9,6.733,0.0,11.633,2018,0,289,52,False,True
77,4.9,6.733,0.0,11.633,2018,0,255,76,False,True
79,5.4,6.233,0.0,11.633,2018,0,183,37,False,True
80,6.3,5.333,0.0,11.633,2018,0,67,60,False,True
81,4.3,7.3,0.0,11.6,2018,0,270,30,False,True
82,5.2,6.366,0.0,11.566,2018,0,113,78,False,True
83,3.6,7.9,0.0,11.5,2018,0,307,35,False,True
84,4.6,6.9,0.0,11.5,2018,0,328,10,False,True
85,4.7,6.8,0.0,11.5,2018,0,330,75,False,True
86,4.2,7.266,0.0,11.466,2018,0,48,65,False,True
87,3.8,7.6,0.0,11.4,2018,0,325,41,False,True
