Rank,Athlete,Nation,D,E,ND,Total,year,round
114,ri se gwang,none,4.6,7.433,0.0,12.033,2019,qual
115,theodor gadderud,NOR,4.7,7.333,0.0,12.033,2019,qual
116,andres perez,PUR,4.9,7.133,0.0,12.033,2019,qual
117,saso bertoncelj,SLO,5.1,6.933,0.0,12.033,2019,qual
118,rasuljon abdurakhimov,UZB,4.9,7.1,0.0,12.0,2019,qual
119,james hall,none,5.6,6.4,0.0,12.0,2019,qual
120,bojan dejanovic,SRB,4.7,7.266,0.0,11.966,2019,qual
121,robert kirmes,FIN,4.7,7.233,0.0,11.933,2019,qual
122,saeedreza keikha,IRI,6.3,5.583,0.0,11.833,2019,qual
123,giarnni regini-moran,none,5.0,6.866,0.0,11.866,2019,qual
124,james bacueti,AUS,4.6,7.233,0.0,11.833,2019,qual
125,milad karimi,KAZ,4.3,7.5,0.0,11.8,2019,qual
126,nikolaos iliopoulos,GRE,4.7,7.1,0.0,11.8,2019,qual
127,philipp herder,none,5.0,6.8,0.0,11.8,2019,qual
128,jesus moreto,PER,5.2,6.6,0.0,11.8,2019,qual
129,valgard reinhardsson,ISL,3.8,7.966,0.0,11.766,2019,qual
130,tang chia-hung,none,4.2,7.566,0.0,11.766,2019,qual
131,niccolo mozzato,ITA,5.1,6.6,0.0,11.7,2019,qual
131,manuel martinez,COL,5.1,6.6,0.0,11.7,2019,qual
133,mustafa arca,TUR,3.8,7.866,0.0,11.666,2019,qual
134,tomas gonzalez,CHI,4.7,6.966,0.0,11.666,2019,qual
135,le thanh tung,VIE,3.9,7.733,0.0,11.633,2019,qual
136,eeli mikkola,FIN,4.1,7.5,0.0,11.6,2019,qual
137,yordan aleksandrov,BUL,4.3,7.266,0.0,11.566,2019,qual
138,oskar kirmes,FIN,5.1,6.466,0.0,11.566,2019,qual
139,yunus gündogdu,TUR,3.9,7.633,0.0,11.533,2019,qual
140,filip sasnal,POL,4.1,7.433,0.0,11.533,2019,qual
141,lukasz borkowski,POL,4.4,7.133,0.0,11.533,2019,qual
142,alexander benda,AUT,4.4,7.1,0.0,11.5,2019,qual
143,rihards trams,LAT,4.9,6.6,0.0,11.5,2019,qual
144,vlada rakovic,LAT,4.9,6.6,0.0,11.5,2019,qual
145,luka van den keybus,BEL,5.0,6.433,0.0,11.433,2019,qual
146,razvan-denis marc,ROU,3.9,7.5,0.0,11.4,2019,qual
147,nicola bartolini,ITA,5.1,6.3,0.0,11.4,2019,qual
148,kim vanström,SWE,4.0,7.366,0.0,11.366,2019,qual
149,mitchell morgans,AUS,4.1,7.233,0.0,11.333,2019,qual
150,robert seligman,CRO,4.2,7.133,0.0,11.333,2019,qual
151,kevin crovetto,MON,3.3,7.9,0.0,11.2,2019,qual
152,joseph fox,TRI,3.8,7.366,0.0,11.166,2019,qual
153,andres valverde,CRC,4.0,7.166,0.0,11.166,2019,qual
154,devy dyson,NZL,4.2,6.966,0.0,11.166,2019,qual
155,murad agharzayev,AZE,5.0,6.133,0.0,11.133,2019,qual
156,daniel villafañe,ARG,4.3,6.7,0.0,11.0,2019,qual
157,bidzina sitchinava,GEO,4.8,6.2,0.0,11.0,2019,qual
158,tarik soto,CRC,3.8,7.175,0.0,10.975,2019,qual
159,dzianis sanuvonh,BLR,4.7,6.266,0.0,10.966,2019,qual
160,noah kuavita,BEL,4.3,6.633,0.0,10.933,2019,qual
160,tomas kuzmickas,LTU,4.3,6.633,0.0,10.933,2019,qual
162,jamorn prommanee,THA,4.8,6.1,0.0,10.9,2019,qual
162,ahmet önder,TUR,4.8,6.1,0.0,10.9,2019,qual
164,reiss beckford,JAM,4.4,6.466,0.0,10.866,2019,qual
165,rafael rosendi,CUB,5.0,5.841,0.0,10.841,2019,qual
166,fabian de luna,MEX,4.1,6.733,0.0,10.833,2019,qual
167,andrei muntean,ROU,4.5,6.133,0.0,10.633,2019,qual
168,benedek tomcsanyi,HUN,4.9,5.733,0.0,10.633,2019,qual
169,jackson payne,CAN,5.6,5.033,0.0,10.633,2019,qual
170,vitalijs kardasovs,LAT,2.7,7.9,0.0,10.6,2019,qual
171,daniel radovesnicky,CZE,4.6,6.0,0.0,10.6,2019,qual
172,stian skjerahaug,NOR,5.2,5.366,0.0,10.566,2019,qual
173,aditya rana,IND,3.6,6.933,0.0,10.533,2019,qual
174,vlad cotuna,ROU,4.1,6.433,0.0,10.533,2019,qual
175,konstantin kuzovkov,GEO,3.9,6.6,0.0,10.5,2019,qual
175,saleem naghouj,JOR,3.9,6.6,0.0,10.5,2019,qual
177,ahmad abu al soud,JOR,5.5,5.0,0.0,10.5,2019,qual
178,fabio chicas,ESA,3.5,6.866,0.0,10.366,2019,qual
179,olegs ivanovs,LAT,3.3,7.0,0.0,10.3,2019,qual
180,ilias georgiou,CYP,3.4,6.733,0.0,10.133,2019,qual
181,frantisek cerny,CZE,3.6,6.533,0.0,10.133,2019,qual
182,ashish kumar,IND,4.0,6.1,0.0,10.1,2019,qual
183,caleb faulk,JAM,4.0,6.0,0.0,10.0,2019,qual
184,bernardo almeida,POR,3.3,6.6,0.0,9.9,2019,qual
185,enkhtulga altansukh,MGL,4.2,5.633,0.0,9.833,2019,qual
186,ri wi chol,none,5.1,4.7,0.0,9.8,2019,qual
187,juan abad godoy,ECU,4.0,5.633,0.0,9.633,2019,qual
188,matthias schwab,AUT,4.7,4.833,0.0,9.533,2019,qual
189,petar vefic,SRB,4.0,5.5,0.0,9.5,2019,qual
190,karl idesjö,SWE,2.9,6.566,0.0,9.466,2019,qual
191,jose lopez,PUR,4.1,5.266,0.0,9.366,2019,qual
192,toma modoianu-zseder,ROU,3.6,5.716,0.0,9.316,2019,qual
193,victor rostagno,URU,3.4,5.666,0.0,9.066,2019,qual
194,ioane jimsheleishvili,GEO,3.4,5.566,0.0,8.966,2019,qual
195,joel alvarez,CHI,3.5,5.133,0.0,8.633,2019,qual
196,meshari al deriwish,KUW,3.0,5.166,0.0,8.166,2019,qual
197,arian leon prado,PER,3.6,4.133,0.0,7.733,2019,qual
198,ali al jafar,KUW,2.9,4.1,0.0,7.0,2019,qual
199,sabah al subaiei,KUW,3.3,2.7,0.0,6.0,2019,qual
200,martin gudmundsson,ISL,2.4,6.933,-4.0,5.333,2019,qual
201,nahel clement bouanane,MAR,2.4,6.133,-4.0,4.533,2019,qual
202,gerardo cabrera,URU,3.3,5.2,-4.0,4.5,2019,qual
203,abellino rubio,GUA,2.6,5.0,-4.0,3.6,2019,qual
204,nabil zouhair,MAR,2.0,4.4,-4.0,2.4,2019,qual
205,prosper okosun,NGR,2.0,4.466,-6.3,0.166,2019,qual
1,alec yoder,USA,6.1,8.6,0.0,14.7,2020,final
1,alec yoder,USA,6.5,8.8,0.0,15.3,2020,final
2,allan bower,USA,6.1,8.45,0.0,14.549999999999999,2020,final
2,allan bower,USA,6.1,8.35,0.0,14.45,2020,final
3,sam mikulak,USA,6.0,8.5,0.0,14.5,2020,final
3,sam mikulak,USA,6.2,8.15,0.0,14.350000000000001,2020,final
4,yul moldauer,USA,5.6,8.6,0.0,14.2,2020,final
4,yul moldauer,USA,5.9,8.1,0.0,14.0,2020,final
5,ian gunther,USA,5.3,8.5,0.0,13.8,2020,final
5,ian gunther,USA,5.3,8.65,0.0,13.95,2020,final
6,donothan bailey,USA,6.1,6.9,0.0,13.0,2020,final
6,donothan bailey,USA,6.2,8.4,0.0,14.600000000000001,2020,final
7,robert neff,USA,6.1,8.05,0.0,14.15,2020,final
7,robert neff,USA,6.1,6.95,0.0,13.05,2020,final
8,akash modi,USA,5.5,7.6,0.0,13.1,2020,final
8,akash modi,USA,5.8,8.25,0.0,14.05,2020,final
8,nicolas kuebler,USA,4.9,9.0,0.0,13.9,2020,final
8,nicolas kuebler,USA,4.9,8.35,0.0,13.25,2020,final
10,brandon briones,USA,5.5,7.8,0.0,13.3,2020,final
10,brandon briones,USA,5.6,8.1,0.0,13.7,2020,final
10,sean melton,USA,5.5,8.0,0.0,13.5,2020,final
10,sean melton,USA,5.4,8.1,0.0,13.5,2020,final
12,brody malone,USA,5.6,8.35,0.0,13.95,2020,final
12,brody malone,USA,5.3,7.65,0.0,12.95,2020,final
13,marvin kimble,USA,6.3,7.75,0.0,14.05,2020,final
13,marvin kimble,USA,6.0,6.8,0.0,12.8,2020,final
14,colt walker,USA,5.5,7.6,0.0,13.1,2020,final
14,colt walker,USA,5.5,7.95,0.0,13.45,2020,final
14,genko suzuki,USA,5.6,8.25,0.0,13.85,2020,final
14,genko suzuki,USA,5.9,6.8,0.0,12.7,2020,final
16,paul juda,USA,4.1,8.55,0.0,12.65,2020,final
16,paul juda,USA,4.7,9.05,0.0,13.75,2020,final
17,grant breckenridge,USA,4.6,8.75,0.0,13.35,2020,final
17,grant breckenridge,USA,4.9,7.7,0.0,12.600000000000001,2020,final
18,cameron bock,USA,5.6,7.45,0.0,13.05,2020,final
18,cameron bock,USA,5.7,7.15,0.0,12.850000000000001,2020,final
19,matt wenske,USA,4.6,8.45,0.0,13.049999999999999,2020,final
19,matt wenske,USA,4.6,8.1,0.0,12.7,2020,final
20,timothy wang,USA,6.1,6.5,0.0,12.6,2020,final
20,timothy wang,USA,6.1,6.75,0.0,12.85,2020,final
20,kiwan watts,USA,4.8,7.05,0.0,11.85,2020,final
20,kiwan watts,USA,5.2,8.4,0.0,13.600000000000001,2020,final
22,gage dyer,USA,4.8,7.95,0.0,12.75,2020,final
22,gage dyer,USA,4.8,7.85,0.0,12.649999999999999,2020,final
23,colin van wicklen,USA,4.8,7.5,0.0,12.3,2020,final
23,colin van wicklen,USA,4.8,8.25,0.0,13.05,2020,final
24,isaiah drake,USA,5.1,8.3,0.0,13.4,2020,final
24,isaiah drake,USA,4.8,6.85,0.0,11.649999999999999,2020,final
25,michael moran,USA,4.9,7.85,0.0,12.75,2020,final
25,michael moran,USA,4.9,6.6,0.0,11.5,2020,final
26,adrian de los angeles,USA,5.5,5.3,0.0,10.8,2020,final
26,adrian de los angeles,USA,5.2,7.7,0.0,12.9,2020,final
