Rank,Athlete,Nation,D,E,ND,Total,year,round
23,petro pakhniuk,UKR,6.2,6.733,0.0,12.933,2018,qual
24,vladyslav hryko,UKR,5.6,7.3,0.0,12.9,2018,qual
25,adam steele,IRL,5.0,7.866,0.0,12.866,2018,qual
26,akim mussayev,KAZ,5.2,7.666,0.0,12.866,2018,qual
27,lin chaopan,CHN,5.6,7.266,0.0,12.866,2018,qual
28,juho kanerva,FIN,5.4,7.316,0.0,12.716,2018,qual
29,lee hyeok-jung,SKR,5.5,7.2,0.0,12.7,2018,qual
30,alec yoder,USA,6.3,6.4,0.0,12.7,2018,qual
31,jorden o’connell-inns,NZL,5.5,7.191,0.0,12.691,2018,qual
32,maxime gentges,BEL,5.8,6.858,0.0,12.658,2018,qual
33,christian baumann,SUI,5.5,7.133,0.0,12.633,2018,qual
34,bart deurloo,NED,5.3,7.3,0.0,12.6,2018,qual
35,bram louwije,NED,5.4,7.2,0.0,12.6,2018,qual
36,brinn bevan,none,5.5,7.1,0.0,12.6,2018,qual
37,saso bertoncelj,SLO,5.6,7.0,0.0,12.6,2018,qual
38,hsu ping-chien,none,5.7,6.866,0.0,12.566,2018,qual
39,andrey likhovitskiy,BLR,5.9,6.633,0.0,12.533,2018,qual
40,marios georgiou,CYP,5.6,6.833,0.0,12.433,2018,qual
41,kazuma kaya,JPN,6.4,6.025,0.0,12.425,2018,qual
42,andrea russo,ITA,4.6,7.8,0.0,12.4,2018,qual
43,nestor abad,ESP,5.1,7.3,0.0,12.4,2018,qual
44,robert seligman,CRO,5.2,7.2,0.0,12.4,2018,qual
45,zou jingyuan,CHN,5.2,7.166,0.0,12.366,2018,qual
46,sofus heggemsnes,NOR,5.3,7.066,0.0,12.366,2018,qual
47,casimir schmidt,NED,5.2,7.133,0.0,12.333,2018,qual
48,arthur mariano,BRA,4.8,7.5,0.0,12.3,2018,qual
49,david vecsernyes,HUN,5.3,6.966,0.0,12.266,2018,qual
50,abdulla azimov,UZB,6.1,6.166,0.0,12.266,2018,qual
51,philipp herder,none,5.3,6.9,0.0,12.2,2018,qual
52,carlos edriel yulo,PHI,4.7,7.466,0.0,12.166,2018,qual
53,ilias georgiou,CYP,4.4,7.733,0.0,12.133,2018,qual
54,dinh phuong thanh,VIE,4.9,7.233,0.0,12.133,2018,qual
55,harald wibye,NOR,4.1,8.0,0.0,12.1,2018,qual
56,jonathan vrolix,BEL,4.7,7.366,0.0,12.066,2018,qual
57,andreas toba,none,5.8,6.233,0.0,12.033,2018,qual
58,harutyun merdinyan,ARM,6.0,6.033,0.0,12.033,2018,qual
59,shiao yu-jan,none,5.1,6.9,0.0,12.0,2018,qual
60,akash modi,USA,5.7,6.3,0.0,12.0,2018,qual
61,ahmet önder,TUR,5.8,6.2,0.0,12.0,2018,qual
62,joe fraser,none,5.6,6.383,0.0,11.983,2018,qual
63,ferhat arican,TUR,5.8,6.166,0.0,11.966,2018,qual
64,radomir sliz,CZE,4.0,7.933,0.0,11.933,2018,qual
65,dariy morozov,AZE,5.8,6.133,0.0,11.933,2018,qual
66,thierno diallo,ESP,5.1,6.825,0.0,11.925,2018,qual
67,ilan korchak,ISR,4.5,7.4,0.0,11.9,2018,qual
68,benjamin gischard,SUI,5.6,6.3,0.0,11.9,2018,qual
69,daniel radovesnicky,CZE,4.0,7.866,0.0,11.866,2018,qual
70,lukas dauser,none,5.7,6.108,0.0,11.808,2018,qual
71,david rumbutis,SWE,4.6,7.2,0.0,11.8,2018,qual
72,artur dalaloyan,RUS,5.2,6.566,0.0,11.766,2018,qual
73,artem dolgopyat,ISR,5.5,6.241,0.0,11.741,2018,qual
74,elias koski,FIN,4.6,7.133,0.0,11.733,2018,qual
75,franz card,FIN,3.5,8.133,0.0,11.633,2018,qual
76,antoine borello,FRA,4.6,7.033,0.0,11.633,2018,qual
77,stian skjerahaug,NOR,4.9,6.733,0.0,11.633,2018,qual
77,rasuljon abdurakhimov,UZB,4.9,6.733,0.0,11.633,2018,qual
79,ludovico edalli,ITA,5.4,6.233,0.0,11.633,2018,qual
80,cristian bataga,ROU,6.3,5.333,0.0,11.633,2018,qual
81,ryan sheppard,HUN,4.3,7.3,0.0,11.6,2018,qual
82,han chung hyo,none,5.2,6.366,0.0,11.566,2018,qual
83,valgard reinhardsson,ISL,3.6,7.9,0.0,11.5,2018,qual
84,yordan aleksandrov,BUL,4.6,6.9,0.0,11.5,2018,qual
85,yul moldauer,USA,4.7,6.8,0.0,11.5,2018,qual
86,bojan dejanovic,SRB,4.2,7.266,0.0,11.466,2018,qual
87,yerbol jantykov,KAZ,3.8,7.6,0.0,11.4,2018,qual
88,botond kardos,HUN,4.3,7.1,0.0,11.4,2018,qual
89,dzianis sanuvonh,BLR,4.6,6.8,0.0,11.4,2018,qual
90,oskar kirmes,FIN,4.1,7.266,0.0,11.366,2018,qual
91,rene cournoyer,CAN,5.2,6.166,0.0,11.366,2018,qual
92,artur davtyan,ARM,5.5,5.866,0.0,11.366,2018,qual
92,loo phay xing,MAS,5.5,5.866,0.0,11.366,2018,qual
94,zachary clay,CAN,5.8,5.566,0.0,11.366,2018,qual
95,robert tvorogal,LTU,4.6,6.7,0.0,11.3,2018,qual
96,leonardo kusan,CRO,5.1,6.2,0.0,11.3,2018,qual
97,petar vefic,SRB,4.2,7.066,0.0,11.266,2018,qual
98,michael sorokine,ISR,4.3,6.966,0.0,11.266,2018,qual
99,ri yong min,none,4.8,6.466,0.0,11.266,2018,qual
100,maksym vasylenko,UKR,5.2,6.066,0.0,11.266,2018,qual
101,marcel nguyen,none,4.8,6.433,0.0,11.233,2018,qual
102,ahmed al dyani,QAT,5.4,5.833,0.0,11.233,2018,qual
103,severin kranzlmüller,AUT,3.9,7.3,0.0,11.2,2018,qual
104,oleg verniaiev,UKR,5.1,6.1,0.0,11.2,2018,qual
105,daniel ponizil,CZE,3.4,7.766,0.0,11.166,2018,qual
106,matthias schwab,AUT,4.3,6.866,0.0,11.166,2018,qual
107,caio souza,BRA,5.3,5.866,0.0,11.166,2018,qual
108,ivan tikhonov,AZE,5.5,5.666,0.0,11.166,2018,qual
109,vinzenz höck,AUT,4.2,6.958,0.0,11.158,2018,qual
110,ethan dick,NZL,4.5,6.633,0.0,11.133,2018,qual
111,santiago mayol,ARG,4.6,6.466,0.0,11.066,2018,qual
112,georgios chatziefstathiou,GRE,5.2,5.866,0.0,11.066,2018,qual
113,rhys mcclenaghan,IRL,6.1,4.966,0.0,11.066,2018,qual
114,phan ngoc hung,VIE,4.8,6.2,0.0,11.0,2018,qual
115,adam babos,HUN,4.9,6.1,0.0,11.0,2018,qual
116,wataru tanigawa,JPN,5.5,5.5,0.0,11.0,2018,qual
117,william broman,SWE,3.7,7.266,0.0,10.966,2018,qual
118,julien gobaux,FRA,4.9,6.066,0.0,10.966,2018,qual
119,svjatoslav solovjev,CZE,4.0,6.95,0.0,10.95,2018,qual
120,saba abesadze,GEO,4.6,6.3,0.0,10.9,2018,qual
121,devy dyson,NZL,4.2,6.666,0.0,10.866,2018,qual
122,andres martinez,COL,4.7,6.133,0.0,10.833,2018,qual
122,simao almeida,POR,4.7,6.133,0.0,10.833,2018,qual
124,andrei muntean,ROU,4.2,6.6,0.0,10.8,2018,qual
125,konstantin kuzovkov,GEO,5.0,5.8,0.0,10.8,2018,qual
126,ahmad abu al soud,JOR,5.5,5.3,0.0,10.8,2018,qual
127,antonios tantalidis,GRE,5.2,5.533,0.0,10.733,2018,qual
128,lucas bitencourt,BRA,4.8,5.9,0.0,10.7,2018,qual
128,tomas kuzmickas,LTU,4.8,5.9,0.0,10.7,2018,qual
130,murad agharzayev,AZE,5.0,5.7,0.0,10.7,2018,qual
131,clay mason stephens,AUS,3.6,7.066,0.0,10.666,2018,qual
132,eythor baldursson,ISL,2.8,7.833,0.0,10.633,2018,qual
133,mikhail koudinov,NZL,3.9,6.7,0.0,10.6,2018,qual
134,bae ga-ram,SKR,4.2,6.4,0.0,10.6,2018,qual
135,bernardo almeida,POR,4.5,6.0,0.0,10.5,2018,qual
136,nikolaos iliopoulos,GRE,3.6,6.791,0.0,10.391,2018,qual
137,marco sarrugerio,ITA,3.8,6.533,0.0,10.333,2018,qual
138,odin kalvø,NOR,4.6,5.733,0.0,10.333,2018,qual
139,nicolau mir,ESP,3.7,6.6,0.0,10.3,2018,qual
140,fabian de luna,MEX,4.1,6.166,0.0,10.266,2018,qual
141,dmitrii govorov,GEO,5.0,5.266,0.0,10.266,2018,qual
142,carlos calvo,COL,4.1,6.133,0.0,10.233,2018,qual
143,frank rijken,NED,4.2,6.033,0.0,10.233,2018,qual
144,petrix barbosa,POR,4.4,5.833,0.0,10.233,2018,qual
145,raman antropau,BLR,5.4,4.833,0.0,10.233,2018,qual
146,yahor sharamkou,BLR,4.4,5.8,0.0,10.2,2018,qual
147,rokas guscinas,LTU,5.3,4.866,0.0,10.166,2018,qual
148,loris frasca,FRA,4.5,5.6,0.0,10.1,2018,qual
