Rank,Athlete,Nation,D,E,ND,year,round,Total
43,yusuke tanaka,JPN,5.1,8.966,-0.3,2018,qual,14.366
44,oleg verniaiev,UKR,5.7,8.066,0.0,2018,qual,13.766000000000002
45,maxime gentges,BEL,5.2,8.533,0.0,2018,qual,13.733
46,ibrahim colak,TUR,5.3,8.433,0.0,2018,qual,13.733
47,brinn bevan,none,5.9,8.133,-0.3,2018,qual,14.333
48,ivan tikhonov,AZE,5.5,8.208,0.0,2018,qual,13.708
49,tomas kuzmickas,LTU,5.3,8.4,0.0,2018,qual,13.7
50,dzianis sanuvonh,BLR,5.4,8.3,0.0,2018,qual,13.700000000000001
51,marios georgiou,CYP,5.5,8.2,0.0,2018,qual,13.7
51,park min-soo,SKR,5.5,8.2,0.0,2018,qual,13.7
51,bart deurloo,NED,5.5,8.2,0.0,2018,qual,13.7
54,nestor abad,ESP,5.8,8.0,-0.1,2018,qual,13.9
55,artur davtyan,ARM,5.5,8.166,0.0,2018,qual,13.666
56,rene cournoyer,CAN,5.6,8.066,0.0,2018,qual,13.666
57,frank rijken,NED,5.1,8.6,-0.1,2018,qual,13.799999999999999
58,tikumporn surintornta,THA,5.5,8.2,-0.1,2018,qual,13.799999999999999
59,paul degouy,FRA,5.4,8.2,0.0,2018,qual,13.6
59,odin kalvø,NOR,5.4,8.2,0.0,2018,qual,13.6
61,ilyas azizov,KAZ,5.3,8.266,0.0,2018,qual,13.565999999999999
61,shiao yu-jan,none,5.3,8.266,0.0,2018,qual,13.565999999999999
63,oliver hegi,SUI,5.5,8.066,0.0,2018,qual,13.566
64,elias koski,FIN,5.3,8.233,0.0,2018,qual,13.533000000000001
65,caio souza,BRA,5.5,8.033,0.0,2018,qual,13.533
66,daniel ponizil,CZE,4.9,8.6,0.0,2018,qual,13.5
67,ruben lopez,ESP,5.5,8.3,-0.3,2018,qual,14.100000000000001
68,dariy morozov,AZE,5.5,8.1,-0.1,2018,qual,13.7
69,daniel aguero,PER,5.4,8.1,0.0,2018,qual,13.5
69,andrei muntean,ROU,5.4,8.1,0.0,2018,qual,13.5
71,adelin kotrong,ROU,5.7,7.8,0.0,2018,qual,13.5
72,kim vanström,SWE,5.5,8.266,-0.3,2018,qual,14.066
73,ethan dick,NZL,5.3,8.166,0.0,2018,qual,13.466000000000001
74,kyleab ellis,NZL,5.6,7.866,0.0,2018,qual,13.466
75,clay mason stephens,AUS,5.5,8.033,-0.1,2018,qual,13.633
76,krisztian boncser,HUN,5.9,7.833,-0.3,2018,qual,14.033000000000001
77,rasuljon abdurakhimov,UZB,5.0,8.4,0.0,2018,qual,13.4
78,david rumbutis,SWE,5.3,8.066,0.0,2018,qual,13.366
79,ludovico edalli,ITA,5.1,8.233,0.0,2018,qual,13.333
80,akim mussayev,KAZ,5.2,8.133,0.0,2018,qual,13.332999999999998
80,sofus heggemsnes,NOR,5.2,8.133,0.0,2018,qual,13.332999999999998
82,francisco rojo,MEX,5.6,7.833,-0.1,2018,qual,13.533
83,yahor sharamkou,BLR,6.1,7.633,-0.4,2018,qual,14.133000000000001
84,slavomir michnak,SVK,4.8,8.5,0.0,2018,qual,13.3
85,christian riisberg,DEN,5.3,8.0,0.0,2018,qual,13.3
85,ferhat arican,TUR,5.3,8.0,0.0,2018,qual,13.3
87,lukas dauser,none,5.2,8.066,0.0,2018,qual,13.266000000000002
88,lucas bitencourt,BRA,5.7,7.566,0.0,2018,qual,13.266
89,daniel radovesnicky,CZE,4.9,8.333,0.0,2018,qual,13.233
90,yu chao-wei,none,4.8,8.4,0.0,2018,qual,13.2
91,vigen khachatryan,ARM,5.0,8.2,0.0,2018,qual,13.2
92,scott costin,AUS,5.1,8.1,0.0,2018,qual,13.2
93,marco sarrugerio,ITA,5.2,8.0,0.0,2018,qual,13.2
93,yerbol jantykov,KAZ,5.2,8.0,0.0,2018,qual,13.2
95,ri yong min,none,5.3,7.9,0.0,2018,qual,13.2
96,sun wei,CHN,5.5,7.7,0.0,2018,qual,13.2
97,julian jato,ARG,5.0,8.166,0.0,2018,qual,13.166
97,loo phay xing,MAS,5.0,8.166,0.0,2018,qual,13.166
99,botond kardos,HUN,5.4,7.766,0.0,2018,qual,13.166
100,eddy yusof,SUI,5.3,7.933,-0.1,2018,qual,13.333
101,cory paterson,CAN,5.3,7.833,0.0,2018,qual,13.133
101,reiss beckford,JAM,5.3,7.833,0.0,2018,qual,13.133
103,antoine borello,FRA,5.0,8.1,0.0,2018,qual,13.1
104,antonios tantalidis,GRE,5.5,7.9,-0.3,2018,qual,13.700000000000001
105,israel chiriboga,ECU,4.7,8.366,0.0,2018,qual,13.065999999999999
106,arthur zanetti,BRA,5.8,7.566,-0.3,2018,qual,13.666
107,jossimar calvo,COL,5.6,7.566,-0.1,2018,qual,13.266
108,daniel villafane,ARG,5.6,7.466,0.0,2018,qual,13.065999999999999
109,christopher remkes,AUS,6.2,6.866,0.0,2018,qual,13.065999999999999
110,samuel zakutney,CAN,5.3,7.733,0.0,2018,qual,13.033
111,andrey likhovitskiy,BLR,4.8,8.5,-0.3,2018,qual,13.600000000000001
112,bram louwije,NED,4.8,8.2,0.0,2018,qual,13.0
113,devy dyson,NZL,4.9,8.1,0.0,2018,qual,13.0
114,santiago mayol,ARG,5.1,7.9,0.0,2018,qual,13.0
114,petrix barbosa,POR,5.1,7.9,0.0,2018,qual,13.0
116,marco lodadio,ITA,5.4,7.6,0.0,2018,qual,13.0
116,fabian de luna,MEX,5.4,7.6,0.0,2018,qual,13.0
118,karl idesjö,SWE,4.8,8.166,0.0,2018,qual,12.966000000000001
119,alexander shatilov,ISR,5.6,7.666,-0.3,2018,qual,13.566
120,mikhail koudinov,NZL,5.1,7.833,0.0,2018,qual,12.933
121,lin chaopan,CHN,6.0,7.233,-0.3,2018,qual,13.533000000000001
122,dinh phuong thanh,VIE,4.7,8.2,0.0,2018,qual,12.899999999999999
123,ryan sheppard,HUN,5.1,7.8,0.0,2018,qual,12.899999999999999
124,nicolas cordoba,ARG,4.4,8.466,0.0,2018,qual,12.866
125,raman antropau,BLR,4.9,8.066,-0.1,2018,qual,13.066
126,nikolaos iliopoulos,GRE,4.7,8.133,0.0,2018,qual,12.832999999999998
126,nikola jurkovic,SRB,4.7,8.133,0.0,2018,qual,12.832999999999998
128,severin kranzlmüller,AUT,4.1,8.633,0.0,2018,qual,12.732999999999999
129,pham phuoc hung,VIE,4.6,8.133,0.0,2018,qual,12.732999999999999
130,bobur toshpulatov,UZB,4.8,7.933,0.0,2018,qual,12.733
131,andrea russo,ITA,4.8,7.9,0.0,2018,qual,12.7
132,alec yoder,USA,5.3,7.666,-0.3,2018,qual,13.266000000000002
133,saba abesadze,GEO,5.1,7.666,-0.1,2018,qual,12.866
134,konstantin kuzovkov,GEO,5.0,7.666,0.0,2018,qual,12.666
135,svjatoslav solovjev,CZE,4.8,8.133,-0.3,2018,qual,13.233
136,igor radivilov,UKR,5.4,7.833,-0.6,2018,qual,13.833
137,ri se gwang,none,5.0,7.566,0.0,2018,qual,12.565999999999999
138,petar velickovic,SRB,5.2,7.366,0.0,2018,qual,12.565999999999999
139,yordan aleksandrov,BUL,4.7,7.833,0.0,2018,qual,12.533000000000001
140,abdulla azimov,UZB,5.2,7.733,-0.4,2018,qual,13.333
141,patricio razo,MEX,5.0,7.533,0.0,2018,qual,12.533000000000001
142,stephen lewis,JAM,5.1,7.4,0.0,2018,qual,12.5
143,david belyavskiy,RUS,5.7,6.8,0.0,2018,qual,12.5
144,michalis krasias,none,4.8,7.866,-0.2,2018,qual,12.866
145,le thanh tung,VIE,4.6,7.866,0.0,2018,qual,12.466
146,joshua valle,MEX,4.7,7.766,0.0,2018,qual,12.466000000000001
147,harald wibye,NOR,5.2,7.266,0.0,2018,qual,12.466000000000001
148,philipp herder,none,5.8,6.766,-0.1,2018,qual,12.665999999999999
149,carlos calvo,COL,5.2,7.533,-0.3,2018,qual,13.033000000000001
150,vahagn davtyan,ARM,4.0,8.708,-0.3,2018,qual,13.008000000000001
151,yazan al souliman,SYR,4.5,7.9,0.0,2018,qual,12.4
151,petar vefic,SRB,4.5,7.9,0.0,2018,qual,12.4
153,nikolaos kranitis,GRE,5.3,7.266,-0.2,2018,qual,12.765999999999998
154,simao almeida,POR,5.0,7.633,-0.3,2018,qual,12.933
155,filip ude,CRO,3.9,8.7,-0.3,2018,qual,12.9
156,andres martinez,COL,5.5,6.866,-0.1,2018,qual,12.466
157,andrew smith,IRL,4.8,7.733,-0.3,2018,qual,12.833
158,saleem naghouj,JOR,4.5,7.8,-0.1,2018,qual,12.4
159,rafael szabo,ROU,4.8,7.4,0.0,2018,qual,12.2
160,erick vargas,COL,5.0,7.2,0.0,2018,qual,12.2
161,akobir khamrokulov,UZB,4.6,7.666,-0.1,2018,qual,12.366
162,matthias schwab,AUT,5.2,6.866,0.0,2018,qual,12.065999999999999
163,adam steele,IRL,5.0,7.333,-0.3,2018,qual,12.633000000000001
164,michael sorokine,ISR,4.8,7.233,0.0,2018,qual,12.033
165,eleftherios petrounias,GRE,5.1,6.933,0.0,2018,qual,12.033
166,mustafa arca,TUR,5.4,6.633,0.0,2018,qual,12.033000000000001
167,caleb faulk,JAM,4.8,7.2,0.0,2018,qual,12.0
168,valgard reinhardsson,ISL,5.3,7.366,-0.7,2018,qual,13.366
169,luka van den keybus,BEL,5.4,6.566,0.0,2018,qual,11.966000000000001
170,bojan dejanovic,SRB,4.9,7.0,0.0,2018,qual,11.9
171,neofytos kyriakou,CYP,4.7,7.1,0.0,2018,qual,11.8
172,franz card,FIN,4.1,7.666,0.0,2018,qual,11.766
173,vitalii arseniev,GEO,4.0,7.741,0.0,2018,qual,11.741
174,ilias georgiou,CYP,4.8,7.2,-0.3,2018,qual,12.3
175,lukas kranzlmüller,AUT,4.2,7.466,0.0,2018,qual,11.666
176,phan ngoc hung,VIE,4.1,7.633,-0.1,2018,qual,11.833
177,frantisek cerny,CZE,5.3,6.4,-0.1,2018,qual,11.799999999999999
178,jorge vega,GUA,5.9,5.666,0.0,2018,qual,11.566
179,robert tvorogal,LTU,4.9,6.633,0.0,2018,qual,11.533000000000001
180,azeez al-delfi,IRQ,4.4,7.1,0.0,2018,qual,11.5
181,tin srbic,CRO,3.5,8.266,-0.3,2018,qual,12.066
182,arian leon,PER,3.9,7.566,0.0,2018,qual,11.466
183,lee hyeok-jung,SKR,5.3,6.166,0.0,2018,qual,11.466000000000001
184,vladyslav hryko,UKR,5.4,6.066,0.0,2018,qual,11.466000000000001
185,bernardo almeida,POR,4.8,6.933,-0.3,2018,qual,12.033000000000001
186,fabio sereinig,AUT,4.6,6.833,0.0,2018,qual,11.433
187,manrique larduet,CUB,4.9,6.9,-0.4,2018,qual,12.200000000000001
188,ri wi chol,none,5.3,6.333,-0.3,2018,qual,11.933
189,nick klessing,none,5.5,5.9,-0.1,2018,qual,11.5
190,eythor baldursson,ISL,4.9,6.366,0.0,2018,qual,11.266
191,jamorn prommanee,THA,4.5,6.533,0.0,2018,qual,11.033000000000001
192,ioane jimsheleishvili,GEO,4.7,6.566,-0.3,2018,qual,11.566
193,anton kovacevic,CRO,2.7,8.5,-0.3,2018,qual,11.5
194,ahmed al dyani,QAT,4.8,6.4,-0.4,2018,qual,11.6
195,murad agharzayev,AZE,5.3,5.666,-0.4,2018,qual,11.366000000000001
196,ahmed mosa,QAT,4.3,6.2,0.0,2018,qual,10.5
197,timur bairamov,AZE,3.9,6.533,0.0,2018,qual,10.433
198,han chung hyo,none,2.7,6.566,0.0,2018,qual,9.266
199,wei an terry tay,SIN,4.1,5.166,-0.2,2018,qual,9.466
200,abdullah al-dulaimi,IRQ,3.6,4.033,-0.2,2018,qual,7.833000000000001
