Rank,Athlete,Nation,D,E,ND,year,round,Total
6,kim han-sol,SKR,6.1,8.566,0.0,2019,qual,14.666
7,carlos edriel yulo,PHI,6.5,8.133,0.0,2019,qual,14.633
8,dominick cunningham,none,6.1,8.5,0.0,2019,qual,14.6
9,nicolau mir,ESP,6.0,8.533,0.0,2019,qual,14.533
10,yul moldauer,USA,5.8,8.666,0.0,2019,qual,14.466000000000001
11,daiki hashimoto,JPN,5.8,8.633,0.0,2019,qual,14.433
12,milad karimi,KAZ,6.2,8.333,-0.1,2019,qual,14.633000000000001
13,lee jun-ho,SKR,6.0,8.366,0.0,2019,qual,14.366
14,lee chih kai,none,5.8,8.533,0.0,2019,qual,14.332999999999998
15,giarnni regini-moran,none,5.9,8.416,0.0,2019,qual,14.316
16,alexander shatilov,ISR,5.9,8.4,0.0,2019,qual,14.3
17,william emard,CAN,5.9,8.333,0.0,2019,qual,14.233
18,tang chia-hung,none,5.4,8.766,0.0,2019,qual,14.166
19,sun wei,CHN,5.5,8.666,0.0,2019,qual,14.166
20,james hall,none,5.7,8.566,-0.1,2019,qual,14.366000000000001
21,arthur mariano,BRA,5.6,8.566,0.0,2019,qual,14.166
21,emil soravuo,FIN,5.6,8.566,0.0,2019,qual,14.166
23,loris frasca,FRA,5.7,8.466,0.0,2019,qual,14.166
24,deng shudi,CHN,6.3,8.166,-0.3,2019,qual,14.766000000000002
25,pablo brägger,SUI,6.0,8.441,-0.3,2019,qual,14.741000000000001
26,luka van den keybus,BEL,5.6,8.533,0.0,2019,qual,14.133
27,petro pakhniuk,UKR,5.7,8.433,0.0,2019,qual,14.133
27,yevgen yudenkov,UKR,5.7,8.433,0.0,2019,qual,14.133
29,stian skjerahaug,NOR,5.6,8.6,-0.1,2019,qual,14.299999999999999
30,nicola bartolini,ITA,5.8,8.3,0.0,2019,qual,14.100000000000001
31,nestor abad,ESP,5.9,8.2,0.0,2019,qual,14.1
32,nick klessing,none,5.7,8.366,0.0,2019,qual,14.065999999999999
33,marian dragulescu,ROU,5.9,8.166,0.0,2019,qual,14.066
34,caio souza,BRA,5.5,8.533,0.0,2019,qual,14.033
35,benjamin gischard,SUI,5.7,8.333,0.0,2019,qual,14.033000000000001
36,casimir schmidt,NED,5.9,8.133,0.0,2019,qual,14.033
37,niccolo mozzato,ITA,5.5,8.5,0.0,2019,qual,14.0
37,bart deurloo,NED,5.5,8.5,0.0,2019,qual,14.0
39,tomas gonzalez,CHI,5.9,8.1,0.0,2019,qual,14.0
40,david rumbutis,SWE,5.5,8.466,0.0,2019,qual,13.966
41,dzianis sanuvonh,BLR,5.4,8.533,0.0,2019,qual,13.933
41,konstantin kuzovkov,GEO,5.4,8.533,0.0,2019,qual,13.933
43,kazuma kaya,JPN,5.8,8.433,-0.3,2019,qual,14.533000000000001
44,ahmet önder,TUR,5.6,8.333,0.0,2019,qual,13.933
45,philipp herder,none,5.7,8.233,0.0,2019,qual,13.933
46,eddy yusof,SUI,5.6,8.3,0.0,2019,qual,13.9
47,yuya kamoto,JPN,5.6,8.366,-0.1,2019,qual,14.065999999999999
48,ludovico edalli,ITA,5.3,8.533,0.0,2019,qual,13.832999999999998
49,randy leru,CUB,5.4,8.433,0.0,2019,qual,13.833
50,manrique larduet,CUB,5.5,8.333,0.0,2019,qual,13.833
51,joel plata,ESP,5.9,7.933,0.0,2019,qual,13.833
52,daniel corral,MEX,5.6,8.2,0.0,2019,qual,13.799999999999999
53,akim mussayev,KAZ,5.7,8.1,0.0,2019,qual,13.8
54,joe fraser,none,5.8,8.0,0.0,2019,qual,13.8
55,rok klavora,SLO,5.9,7.9,0.0,2019,qual,13.8
56,ivan stretovich,RUS,5.8,8.066,-0.1,2019,qual,13.966
57,oliver hegi,SUI,5.3,8.433,0.0,2019,qual,13.733
58,yang hak-seon,SKR,5.7,8.033,0.0,2019,qual,13.733
59,adam steele,IRL,5.2,8.5,0.0,2019,qual,13.7
60,david huddleston,BUL,5.3,8.4,0.0,2019,qual,13.7
61,arthur zanetti,BRA,5.9,7.8,0.0,2019,qual,13.7
62,artur davtyan,ARM,4.9,8.766,0.0,2019,qual,13.666
63,karim rida,none,5.7,8.266,-0.3,2019,qual,14.266000000000002
64,andreas toba,none,5.2,8.433,0.0,2019,qual,13.633
65,robert kirmes,FIN,5.4,8.233,0.0,2019,qual,13.633000000000001
66,vladyslav hryko,UKR,5.8,7.833,0.0,2019,qual,13.633
67,theodor gadderud,NOR,5.3,8.4,-0.1,2019,qual,13.799999999999999
68,karl idesjö,SWE,5.2,8.4,0.0,2019,qual,13.600000000000001
69,majdi al hmood,JOR,5.4,8.2,0.0,2019,qual,13.6
70,julien saleur,FRA,5.2,8.366,0.0,2019,qual,13.565999999999999
71,jimmy verbaeys,BEL,5.3,8.266,0.0,2019,qual,13.565999999999999
72,robert tvorogal,LTU,5.4,8.166,0.0,2019,qual,13.566
73,andres martinez,COL,5.4,8.133,0.0,2019,qual,13.533
74,marco lodadio,ITA,5.8,7.733,0.0,2019,qual,13.533
75,yerbol jantykov,KAZ,5.1,8.4,0.0,2019,qual,13.5
75,rasuljon abdurakhimov,UZB,5.1,8.4,0.0,2019,qual,13.5
77,rene cournoyer,CAN,5.5,8.0,0.0,2019,qual,13.5
77,ashish kumar,IND,5.5,8.0,0.0,2019,qual,13.5
79,ivan tikhonov,AZE,5.3,8.266,-0.1,2019,qual,13.665999999999999
80,tikumporn surintornta,THA,5.8,7.766,-0.1,2019,qual,13.665999999999999
81,shane wiskus,USA,5.7,7.766,0.0,2019,qual,13.466000000000001
82,yordan aleksandrov,BUL,5.2,8.233,0.0,2019,qual,13.433
83,antoine borello,FRA,5.4,8.133,-0.1,2019,qual,13.633
84,daan kenis,BEL,5.4,8.033,0.0,2019,qual,13.433
84,sofus heggemsnes,NOR,5.4,8.033,0.0,2019,qual,13.433
86,samuel zakutney,CAN,5.5,7.933,0.0,2019,qual,13.433
86,lee jung-hyo,SKR,5.5,7.933,0.0,2019,qual,13.433
88,abdulla azimov,UZB,5.0,8.4,0.0,2019,qual,13.4
89,isaac nunez,MEX,5.2,8.2,0.0,2019,qual,13.399999999999999
90,ahmet anis maoudj,ALG,5.3,8.1,0.0,2019,qual,13.399999999999999
91,kim vanström,SWE,5.9,7.9,-0.4,2019,qual,14.200000000000001
92,valgard reinhardsson,ISL,5.3,8.166,-0.1,2019,qual,13.566
93,shiao yu-jan,none,5.4,7.933,0.0,2019,qual,13.333
94,akash modi,USA,5.6,7.733,0.0,2019,qual,13.332999999999998
95,mitchell morgans,AUS,4.9,8.408,0.0,2019,qual,13.308
96,oskar kirmes,FIN,5.4,8.0,-0.1,2019,qual,13.5
97,ferhat arican,TUR,5.6,7.8,-0.1,2019,qual,13.499999999999998
98,ioane jimsheleishvili,GEO,5.5,7.8,0.0,2019,qual,13.3
98,le thanh tung,VIE,5.5,7.8,0.0,2019,qual,13.3
