Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual,tot_final,tot_fin_d,tot_fin_ddiv,tot_fin_ddiv_rank
6.0,4.8,7.366,-0.1,12.066,2019,0,77,40,False,False,True,12.066,57.9168,698.8241088000001,704.8241088000001
7.0,4.4,7.466,0.0,11.866,2019,0,121,40,False,False,True,11.866,52.2104,619.5286064,626.5286064
8.0,4.5,7.333,0.0,11.833,2019,0,1,24,False,False,True,11.833,53.2485,630.0895005,638.0895005
9.0,4.7,7.033,0.0,11.733,2019,0,73,2,False,False,True,11.733,55.145100000000006,647.0174583000002,656.0174583000002
2.0,5.3,8.6,0.0,13.9,2018,0,58,6,False,True,False,14.9,78.97,1176.653,1178.653
5.0,5.9,7.533,-0.3,13.133,2018,0,13,35,False,True,False,14.133,83.3847,1178.4759651,1183.4759651
6.0,5.1,7.8,0.0,12.9,2018,0,27,6,False,True,False,13.9,70.89,985.371,991.371
1.0,5.9,8.333,0.0,14.233,2017,1,89,0,False,True,False,15.233,89.8747,1369.0613051,1370.0613051
2.0,5.7,8.5,0.0,14.2,2017,1,66,0,False,True,False,15.2,86.64,1316.9279999999999,1318.9279999999999
3.0,5.6,8.333,0.0,13.933,2017,0,32,0,False,True,False,14.933,83.6248,1248.7691384,1251.7691384
5.0,5.2,8.45,0.0,13.65,2017,0,22,0,False,True,False,14.65,76.18,1116.037,1121.037
6.0,5.4,7.866,0.0,13.266,2017,0,78,0,False,True,False,14.266,77.0364,1099.0012824,1105.0012824
7.0,5.3,7.9,-0.3,12.9,2017,0,48,0,False,True,False,13.9,73.67,1024.0130000000001,1031.0130000000001
8.0,2.0,8.233,-6.3,3.933,2017,1,126,0,False,True,False,4.933,9.866,48.668977999999996,56.668977999999996
1.0,6.7,8.533,0.3,14.933,2018,0,118,0,False,True,False,15.933,106.75110000000001,1700.8652763,1701.8652763
3.0,5.7,8.166,0.0,13.866,2018,1,89,0,False,True,False,14.866,84.7362,1259.6883492,1262.6883492
4.0,5.7,8.133,0.0,13.833,2018,0,13,0,False,True,False,14.833,84.5481,1254.1019673,1258.1019673
