Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual,tot_final,tot_fin_d,tot_fin_ddiv,tot_fin_ddiv_rank
7.0,5.1,8.166,0.0,13.266,2015,0,41,44,False,True,False,14.266,72.75659999999999,1037.9456555999998,1044.9456555999998
8.0,5.4,7.266,0.0,12.666,2015,0,57,32,False,True,False,13.666,73.7964,1008.5016024000001,1016.5016024000001
1.0,5.9,8.2,0.0,14.1,2015,0,113,35,False,False,True,14.1,83.19,1172.979,1173.979
2.0,5.8,8.1,0.0,13.9,2015,0,74,14,False,False,True,13.9,80.62,1120.6180000000002,1122.6180000000002
3.0,5.6,8.3,-0.1,13.8,2015,0,36,35,False,False,True,13.8,77.28,1066.4640000000002,1069.4640000000002
4.0,5.5,8.2,0.0,13.7,2015,0,17,23,False,False,True,13.7,75.35,1032.2949999999998,1036.2949999999998
5.0,5.3,8.25,0.0,13.55,2015,0,56,27,False,False,True,13.55,71.815,973.09325,978.09325
6.0,5.5,8.05,0.0,13.55,2015,0,57,32,False,False,True,13.55,74.525,1009.8137500000001,1015.8137500000001
7.0,5.4,8.1,0.0,13.5,2015,0,101,23,False,False,True,13.5,72.9,984.1500000000001,991.1500000000001
11.0,5.2,8.0,0.0,13.2,2015,0,41,44,False,False,True,13.2,68.64,906.048,917.048
19.0,4.9,7.9,-0.4,12.4,2015,0,52,2,False,False,True,12.4,60.760000000000005,753.4240000000001,772.4240000000001
24.0,4.6,7.45,-0.2,11.85,2015,0,119,29,False,False,True,11.85,54.50999999999999,645.9434999999999,669.9434999999999
27.0,3.9,7.4,-0.3,11.0,2015,0,47,28,False,False,True,11.0,42.9,471.9,498.9
1.0,6.3,8.433,0.0,14.733,2015,0,76,35,False,True,False,15.733,99.1179,1559.4219207,1560.4219207
2.0,6.3,8.333,0.0,14.633,2015,0,32,14,False,True,False,15.633,98.4879,1539.6613406999998,1541.6613406999998
3.0,6.0,8.466,0.0,14.466,2015,0,63,37,False,True,False,15.466,92.79599999999999,1435.182936,1438.182936
4.0,6.0,8.3,0.0,14.3,2015,0,54,22,False,True,False,15.3,91.80000000000001,1404.5400000000002,1408.5400000000002
5.0,6.0,8.233,0.0,14.233,2015,0,94,31,False,True,False,15.233,91.398,1392.265734,1397.265734
6.0,5.9,8.1,0.0,14.0,2015,1,4,14,False,True,False,15.0,88.5,1327.5,1333.5
7.0,5.8,8.233,-0.1,13.933,2015,0,90,35,False,True,False,14.933,86.6114,1293.3680362,1300.3680362
8.0,5.5,8.366,0.0,13.866,2015,0,11,34,False,True,False,14.866,81.763,1215.488758,1223.488758
1.0,6.0,8.333,0.0,14.333,2015,0,63,37,False,False,True,14.333,85.998,1232.609334,1233.609334
2.0,6.1,8.166,0.0,14.266,2015,0,76,35,False,False,True,14.266,87.0226,1241.4644116,1243.4644116
3.0,5.9,8.3,0.0,14.2,2015,1,4,14,False,False,True,14.2,83.78,1189.676,1192.676
4.0,5.9,8.233,0.0,14.133,2015,0,94,31,False,False,True,14.133,83.3847,1178.4759651,1182.4759651
5.0,5.9,8.166,0.0,14.066,2015,0,90,35,False,False,True,14.066,82.9894,1167.3289004,1172.3289004
6.0,6.0,8.3,-0.3,14.0,2015,0,54,22,False,False,True,14.0,84.0,1176.0,1182.0
7.0,6.1,8.166,-0.3,13.966,2015,0,32,14,False,False,True,13.966,85.19259999999998,1189.7998515999998,1196.7998515999998
8.0,5.4,8.4,0.0,13.8,2015,0,11,34,False,False,True,13.8,74.52000000000001,1028.3760000000002,1036.3760000000002
9.0,5.6,8.3,-0.1,13.8,2015,0,55,28,False,False,True,13.8,77.28,1066.4640000000002,1075.4640000000002
12.0,5.6,7.966,0.0,13.566,2015,0,57,32,False,False,True,13.566,75.9696,1030.6035936,1042.6035936
13.0,5.7,7.825,0.0,13.525,2015,0,126,22,False,False,True,13.525,77.0925,1042.6760625,1055.6760625
15.0,5.3,8.133,0.0,13.433,2015,0,111,16,False,False,True,13.433,71.19489999999999,956.3610916999999,971.3610916999999
16.0,5.6,8.1,-0.3,13.4,2015,0,49,14,False,False,True,13.4,75.03999999999999,1005.536,1021.536
17.0,5.3,8.1,0.0,13.4,2015,0,25,22,False,False,True,13.4,71.02,951.668,968.668
18.0,5.0,8.383,0.0,13.383,2015,0,24,13,False,False,True,13.383,66.91499999999999,895.5234449999998,913.5234449999998
19.0,5.5,7.8,0.0,13.3,2015,0,6,12,False,False,True,13.3,73.15,972.8950000000001,991.8950000000001
20.0,5.7,7.533,0.0,13.233,2015,0,95,22,False,False,True,13.233,75.4281,998.1400473,1018.1400473
23.0,5.5,7.566,0.0,13.066,2015,0,39,34,False,False,True,13.066,71.863,938.9619580000001,961.9619580000001
24.0,5.1,7.866,0.0,12.966,2015,0,128,10,False,False,True,12.966,66.1266,857.3974956,881.3974956
27.0,5.2,7.733,-0.1,12.833,2015,0,72,31,False,False,True,12.833,66.7316,856.3666228,883.3666228
30.0,4.9,7.833,0.0,12.733,2015,0,50,20,False,False,True,12.733,62.39170000000001,794.4335161000001,824.4335161000001
32.0,4.8,7.9,0.0,12.7,2015,0,120,20,False,False,True,12.7,60.959999999999994,774.1919999999999,806.1919999999999
34.0,4.8,7.833,0.0,12.633,2015,0,61,21,False,False,True,12.633,60.63839999999999,766.0449071999998,800.0449071999998
35.0,4.7,7.866,0.0,12.566,2015,0,124,21,False,False,True,12.566,59.06020000000001,742.1504732000002,777.1504732000002
36.0,4.6,7.9,0.0,12.5,2015,0,122,36,False,False,True,12.5,57.49999999999999,718.7499999999999,754.7499999999999
39.0,4.4,7.933,0.0,12.333,2015,0,19,38,False,False,True,12.333,54.26520000000001,669.2527116000001,708.2527116000001
41.0,5.0,7.5,-0.3,12.2,2015,0,92,4,False,False,True,12.2,61.0,744.1999999999999,785.1999999999999
46.0,4.8,7.333,0.0,12.133,2015,0,109,12,False,False,True,12.133,58.23839999999999,706.6065071999999,752.6065071999999
47.0,4.4,7.7,0.0,12.1,2015,0,91,17,False,False,True,12.1,53.24,644.204,691.204
50.0,4.6,7.433,0.0,12.033,2015,0,85,11,False,False,True,12.033,55.35179999999999,666.0482093999999,716.0482093999999
54.0,5.6,6.366,-0.1,11.866,2015,0,103,28,False,False,True,11.866,66.44959999999999,788.4909535999999,842.4909535999999
56.0,4.4,7.333,0.0,11.733,2015,0,42,29,False,False,True,11.733,51.62520000000001,605.7184716000002,661.7184716000002
59.0,5.0,6.8,-0.1,11.7,2015,0,104,12,False,False,True,11.7,58.5,684.4499999999999,743.4499999999999
60.0,4.9,7.066,-0.3,11.666,2015,0,96,11,False,False,True,11.666,57.1634,666.8682244,726.8682244
61.0,5.2,6.433,0.0,11.633,2015,0,64,37,False,False,True,11.633,60.4916,703.6987827999999,764.6987827999999
64.0,4.9,6.866,-0.3,11.466,2015,0,100,15,False,False,True,11.466,56.1834,644.1988643999999,708.1988643999999
66.0,5.2,6.266,-0.1,11.366,2015,0,123,41,False,False,True,11.366,59.1032,671.7669712,737.7669712
68.0,4.9,6.366,0.0,11.266,2015,0,37,41,False,False,True,11.266,55.2034,621.9215044,689.9215044
70.0,4.4,6.833,0.0,11.233,2015,0,119,29,False,False,True,11.233,49.425200000000004,555.1932716000001,625.1932716000001
72.0,3.6,7.5,0.0,11.1,2015,0,8,25,False,False,True,11.1,39.96,443.556,515.556
74.0,5.1,6.333,-0.4,11.033,2015,0,45,41,False,False,True,11.033,56.268299999999996,620.8081539,694.8081539
75.0,4.0,6.933,0.0,10.933,2015,0,10,5,False,False,True,10.933,43.732,478.121956,553.121956
