Rank,VT,UB,BB,FX,AA,year,medal,Name,Nation,round_final,round_qual
129,13.4,11.766,8.666,11.933,45.765,2019,0,126,80,False,True
130,11.433,10.566,10.933,12.7,45.632,2019,0,279,58,False,True
131,12.933,10.133,10.533,11.866,45.465,2019,0,335,79,False,True
132,13,9.916,10.866,11.466,45.248,2019,0,284,35,False,True
133,11.3,11.6,11.033,11.3,45.233,2019,0,225,61,False,True
134,12.666,10.966,9.4,12.2,45.232,2019,0,102,45,False,True
135,13,10.666,9.766,11.8,45.232,2019,0,180,78,False,True
136,13.466,10.833,9.933,10.966,45.198,2019,0,2,45,False,True
137,13.1,10.5,10.033,11.4,45.033,2019,0,75,46,False,True
138,13.4,10.733,9.633,11.266,45.032,2019,0,69,16,False,True
139,12.233,10.133,11.466,11.166,44.998,2019,0,34,44,False,True
140,12.166,11.733,9.666,11.333,44.898,2019,0,40,15,False,True
141,13.266,11.333,8.733,11.5,44.832,2019,0,291,34,False,True
142,12.333,10.033,10.7,11.733,44.799,2019,0,143,19,False,True
143,13.233,11.366,9.066,11.133,44.798,2019,0,265,15,False,True
144,14.333,7.833,11.466,11.133,44.765,2019,0,325,65,False,True
145,12.8,11.466,9.233,11.133,44.632,2019,0,183,40,False,True
146,13.3,9.033,10.833,11.366,44.532,2019,0,11,25,False,True
147,13.3,9.6,9.533,11.7,44.133,2019,0,97,79,False,True
148,12.333,8.633,10.966,12.033,43.965,2019,0,277,77,False,True
149,13.366,10.5,8.533,11.5,43.899,2019,0,181,8,False,True
150,13.2,10.2,8.933,11.533,43.866,2019,0,189,31,False,True
151,13.2,8.666,10.433,11.533,43.832,2019,0,153,77,False,True
152,13.133,9.8,10.316,10.575,43.824,2019,0,47,50,False,True
153,13,9.7,9.366,11.5,43.566,2019,0,254,38,False,True
154,13.4,7.566,11.233,11.333,43.532,2019,0,194,10,False,True
155,11.333,10.333,10.4,11.433,43.499,2019,0,293,27,False,True
156,12.7,9.1,10.2,11.133,43.133,2019,0,344,21,False,True
157,11.833,11.9,9.733,9.666,43.132,2019,0,9,66,False,True
158,12.1,10,10.166,10.8,43.066,2019,0,288,12,False,True
159,12.9,9.333,9.7,11.1,43.033,2019,0,278,25,False,True
160,12.933,8.133,10.433,11.466,42.965,2019,0,314,0,False,True
161,11.966,9.766,9.833,11.4,42.965,2019,0,29,2,False,True
162,11.6,11.366,9.008,10.933,42.907,2019,0,236,15,False,True
163,12.033,9.966,9.3,11.4,42.699,2019,0,227,31,False,True
164,12.2,10.5,9.166,10.7,42.566,2019,0,115,21,False,True
165,12.233,9.4,10.366,10.2,42.199,2019,0,345,21,False,True
166,11.9,10.033,9.6,10.6,42.133,2019,0,240,44,False,True
167,12.4,9.166,8.6,11.233,41.399,2019,0,283,75,False,True
167,13.666,14.2,0,13,40.866,2019,0,184,80,False,True
168,12.466,6.641,10.433,11.2,40.74,2019,0,191,66,False,True
168,13.566,13.633,0,13.3,40.499,2019,0,138,3,False,True
169,12.8,8.666,9.566,9.433,40.465,2019,0,257,78,False,True
169,0,14.166,12.6,13.233,39.999,2019,0,211,28,False,True
169,13.733,0,13.166,12.966,39.865,2019,0,243,28,False,True
169,14.1,0,12.633,12.933,39.666,2019,0,7,42,False,True
170,12,8.466,9.066,10,39.532,2019,0,197,53,False,True
170,0,13.166,12.9,13.366,39.432,2019,0,230,6,False,True
170,13.566,13.733,12.1,0,39.399,2019,0,308,6,False,True
170,13.633,12.833,12.366,0,38.832,2019,0,8,26,False,True
170,0,13.533,11.9,13.166,38.599,2019,0,262,42,False,True
170,14.5,0,12,11.866,38.366,2019,0,10,62,False,True
170,14.466,12.433,0,10.866,37.765,2019,0,290,80,False,True
170,13.866,0,11.933,11.9,37.699,2019,0,340,74,False,True
170,13.566,0,11.233,12.483,37.282,2019,0,321,3,False,True
171,11.9,7.483,7.666,10.2,37.249,2019,0,96,8,False,True
171,14,0,10.666,12.466,37.132,2019,0,111,48,False,True
172,11.1,4.5,10.5,10.566,36.666,2019,0,85,53,False,True
173,12.366,6.633,8.1,9.5,36.599,2019,0,67,22,False,True
173,0,13.133,11.166,12.133,36.432,2019,0,273,33,False,True
173,0,12.866,11.2,12.066,36.132,2019,0,74,68,False,True
173,13.333,0,10.908,11.566,35.807,2019,0,301,20,False,True
174,0,11.366,10.333,11.6,33.299,2019,0,63,58,False,True
175,12.5,8.033,9.733,DNS,30.266,2019,0,329,79,False,True
176,15.3,0,0,14.2,29.5,2019,0,161,76,False,True
177,14.3,14.4,0,0,28.7,2019,0,84,28,False,True
178,14.5,14.133,0,0,28.633,2019,0,15,39,False,True
179,0,14.366,14.266,0,28.632,2019,0,79,14,False,True
180,14.4,0,0,13.533,27.933,2019,0,331,49,False,True
181,0,14.8,13.1,0,27.9,2019,0,61,80,False,True
182,14.833,0,0,12.691,27.524,2019,0,309,11,False,True
183,14.533,0,0,12.966,27.499,2019,0,287,14,False,True
184,0,14,13.466,0,27.466,2019,0,175,76,False,True
185,14.033,13.266,0,0,27.299,2019,0,6,42,False,True
186,14.433,11.566,1.191,DNS,27.19,2019,0,351,22,False,True
187,0,13.433,13.5,0,26.933,2019,0,26,11,False,True
188,14.2,12.7,0,0,26.9,2019,0,57,1,False,True
189,0,13.633,13.2,0,26.833,2019,0,303,49,False,True
190,13.766,0,0,12.5,26.266,2019,0,320,80,False,True
191,14.1,0,0,12.2,26.2,2019,0,163,6,False,True
192,14.066,0,0,12,26.066,2019,0,146,64,False,True
193,0,12.8,12.033,0,24.833,2019,0,199,64,False,True
194,13.333,DNS,DNS,11.433,24.766,2019,0,135,38,False,True
195,0,0,11.266,13.4,24.666,2019,0,93,39,False,True
196,12.766,11.233,DNS,DNS,23.999,2019,0,238,57,False,True
197,0,0,11.233,12.433,23.666,2019,0,218,1,False,True
198,0,11.2,12.166,0,23.366,2019,0,178,3,False,True
199,12.5,DNS,DNS,9.566,22.066,2019,0,76,72,False,True
200,DNS,8.925,10.2,DNS,19.125,2019,0,53,35,False,True
201,0,0,7.433,9.4,16.833,2019,0,300,22,False,True
202,0,15.016,0,0,15.016,2019,0,89,62,False,True
203,14.466,0,0,0,14.466,2019,0,305,33,False,True
204,14.133,0,0,0,14.133,2019,0,160,9,False,True
205,0,13.766,0,0,13.766,2019,0,133,48,False,True
206,0,13.633,0,0,13.633,2019,0,212,9,False,True
207,13.433,0,0,0,13.433,2019,0,48,68,False,True
208,0,0,13.066,0,13.066,2019,0,188,80,False,True
209,0,0,0,12.733,12.733,2019,0,241,26,False,True
210,12.733,0,0,0,12.733,2019,0,108,32,False,True
211,0,0,11.8,0,11.8,2019,0,282,80,False,True
212,0,11.033,0,0,11.033,2019,0,46,20,False,True
213,0,0,10.566,0,10.566,2019,0,268,32,False,True
214,0,10.4,0,0,10.4,2019,0,352,74,False,True
215,0,0,8.333,0,8.333,2019,0,142,23,False,True
216,0,0,5.733,0,5.733,2019,0,21,50,False,True
1,14.233,14.3,12.933,13.633,55.099,2019,0,259,76,True,False
2,14.5,13.533,13.733,13.266,55.032,2019,0,109,11,True,False
3,14.6,13.266,13.333,13.6,54.799,2019,0,55,42,True,False
4,14.1,12.866,13.0,12.0,51.966,2019,0,6,42,True,False
5,13.5,12.566,12.233,12.933,51.132,2019,0,73,9,True,False
6,13.1,12.333,13.6,11.5,50.533,2019,0,208,14,True,False
7,13.166,12.133,11.933,12.266,49.498,2019,0,200,64,True,False
8,12.1,10.966,12.833,12.833,48.732,2019,0,192,62,True,False
9,13.033,10.766,11.4,12.533,47.732,2019,0,70,80,True,False
1,15.4,14.3,14.2,14.9,58.8,2019,0,312,76,True,False
2,13.533,14.066,14.333,13.2,55.132,2019,0,26,11,True,False
3,14.5,14.233,12.466,13.2,54.399,2019,0,106,80,True,False
4,13.566,13.933,13.666,12.566,53.731,2019,0,211,28,True,False
5,14.4,14.2,11.6,13.2,53.4,2019,0,20,62,True,False
6,13.933,13.566,12.9,12.3,52.699,2019,0,150,42,True,False
7,13.533,13.8,11.8,13.033,52.166,2019,0,184,80,True,False
8,13.933,12.9,13.0,11.333,51.166,2019,0,357,33,True,False
9,13.733,11.833,9.866,12.333,47.765,2019,0,73,9,True,False
1,14.366,14.366,11.866,12.966,53.564,2019,0,20,62,True,False
2,13.133,14.4,12.166,13.366,53.065,2019,0,292,76,True,False
3,13.566,12.233,12.933,13.1,51.832,2019,0,326,9,True,False
4,13.366,13.9,11.666,12.7,51.632,2019,0,72,28,True,False
5,13.666,12.033,12.6,12.8,51.099,2019,0,347,11,True,False
6,13.133,12.566,11.3,12.8,49.799,2019,0,198,80,True,False
7,14.3,10.5,11.5,13.033,49.333,2019,0,110,80,True,False
8,13.033,11.766,11.366,12.833,48.998,2019,0,262,42,True,False
9,13.033,9.933,12.2,12.7,47.866,2019,0,207,14,True,False
1,15.233,14.733,14.633,14.4,58.999,2019,0,312,76,True,False
2,14.166,14.533,14.6,13.6,56.899,2019,0,324,14,True,False
3,14.433,13.9,14.0,14.066,56.399,2019,1,41,62,True,False
4,14.566,14.133,14.0,13.533,56.232,2019,0,109,11,True,False
5,13.6,15.2,13.733,13.5,56.033,2019,0,271,6,True,False
6,14.6,14.866,13.233,13.3,55.999,2019,0,106,80,True,False
7,14.466,13.3,14.033,13.933,55.732,2019,0,131,9,True,False
8,14.466,13.133,13.833,14.2,55.632,2019,1,319,76,True,False
9,14.433,13.366,14.0,13.3,55.099,2019,0,203,14,True,False
10,14.5,13.666,13.866,12.866,54.898,2019,0,307,80,True,False
11,14.966,13.6,13.066,13.166,54.798,2019,0,18,28,True,False
12,14.266,13.766,13.8,12.933,54.765,2019,0,16,80,True,False
13,14.6,14.0,13.366,12.7,54.666,2019,0,55,42,True,False
14,14.166,13.266,13.5,13.566,54.498,2019,0,65,11,True,False
15,13.5,14.133,13.333,13.4,54.366,2019,0,94,74,True,False
16,14.7,14.333,12.633,12.566,54.232,2019,0,140,39,True,False
17,13.8,13.866,13.533,12.733,53.932,2019,0,150,42,True,False
18,14.933,12.5,12.8,13.633,53.866,2019,0,141,68,True,False
19,13.733,13.5,13.366,13.233,53.832,2019,0,136,3,True,False
20,14.633,11.933,13.5,13.5,53.566,2019,0,255,28,True,False
21,13.333,13.7,11.833,12.6,51.466,2019,0,83,26,True,False
22,14.533,12.066,11.4,13.466,51.465,2019,0,206,62,True,False
23,13.266,12.1,13.6,12.2,51.166,2019,0,264,49,True,False
24,13.266,0.0,12.666,12.866,0.0,2019,0,105,39,True,False
