Rank,VT,UB,BB,FX,AA,year,medal,Name,Nation,round_final,round_qual
90,13.133,11.466,10.5,11.633,46.732,2018,0,266,61,False,True
91,13.433,11.5,9.833,11.933,46.699,2018,0,263,24,False,True
92,13.066,11.85,10.8,10.866,46.582,2018,0,91,73,False,True
93,13.533,9.733,11.1,12.166,46.532,2018,0,332,65,False,True
94,12.366,12.133,9.933,11.8,46.232,2018,0,148,16,False,True
95,13.166,10.933,12.233,9.8,46.132,2018,0,261,63,False,True
96,12.566,11.233,11.3,10.966,46.065,2018,0,165,0,False,True
97,13.266,10.991,9.5,12.133,45.89,2018,0,86,55,False,True
98,12.9,9.5,11.833,11.633,45.866,2018,0,343,69,False,True
99,12.633,10.266,11.266,11.7,45.865,2018,0,152,73,False,True
100,12.6,11.666,10.1,11.466,45.832,2018,0,349,56,False,True
101,13.333,11.533,9.666,11.266,45.798,2018,0,228,70,False,True
102,12.5,11.1,10.466,11.7,45.766,2018,0,238,57,False,True
103,11.766,11.1,10.9,12.0,45.766,2018,0,60,57,False,True
104,12.633,10.1,10.8,12.133,45.666,2018,0,119,27,False,True
105,12.1,11.1,10.366,11.766,45.332,2018,0,328,37,False,True
106,12.333,9.366,11.133,12.4,45.232,2018,0,155,30,False,True
107,12.733,11.766,9.4,11.3,45.199,2018,0,348,69,False,True
108,12.7,11.233,9.033,12.2,45.166,2018,0,173,51,False,True
109,12.033,11.7,10.166,11.266,45.165,2018,0,216,65,False,True
110,12.666,10.266,9.966,12.2,45.098,2018,0,237,57,False,True
111,12.166,9.3,11.933,11.633,45.032,2018,0,5,43,False,True
112,13.2,10.633,8.966,12.2,44.999,2018,0,322,47,False,True
113,12.825,11.408,9.833,10.816,44.882,2018,0,295,41,False,True
114,12.733,10.233,11.433,10.433,44.832,2018,0,38,47,False,True
115,12.666,10.733,9.066,12.266,44.731,2018,0,327,51,False,True
116,12.1,9.8,11.566,11.2,44.666,2018,0,220,40,False,True
117,13.066,8.066,11.433,12.066,44.631,2018,0,4,1,False,True
118,13.4,9.4,10.333,11.4,44.533,2018,0,78,52,False,True
119,12.366,9.733,11.233,11.066,44.398,2018,0,82,80,False,True
120,13.166,8.233,11.133,11.7,44.232,2018,0,159,52,False,True
121,12.133,11.3,10.5,10.1,44.033,2018,0,9,66,False,True
122,12.5,11.133,8.5,11.866,43.999,2018,0,256,21,False,True
123,12.966,8.266,10.766,11.966,43.964,2018,0,27,31,False,True
124,13.033,9.7,9.233,11.966,43.932,2018,0,123,30,False,True
125,11.866,10.7,9.933,11.433,43.932,2018,0,244,7,False,True
126,12.933,10.266,9.3,11.3,43.799,2018,0,45,29,False,True
127,11.7,10.9,9.866,11.166,43.632,2018,0,34,44,False,True
128,12.566,10.566,9.033,11.4,43.565,2018,0,52,16,False,True
129,12.6,10.566,8.333,11.833,43.332,2018,0,310,27,False,True
130,12.433,10.366,8.8,11.733,43.332,2018,0,254,38,False,True
131,12.133,9.133,10.9,11.0,43.166,2018,0,32,19,False,True
132,11.766,10.366,10.066,10.666,42.864,2018,0,315,37,False,True
133,11.8,11.266,8.1,11.533,42.699,2018,0,14,7,False,True
134,14.6,14.1,0.0,13.8,42.5,2018,0,144,76,False,True
135,11.933,8.5,10.3,11.533,42.266,2018,0,239,16,False,True
136,12.466,8.533,9.733,11.4,42.132,2018,0,115,21,False,True
137,12.1,9.4,9.466,11.166,42.132,2018,0,288,12,False,True
138,14.566,14.333,12.633,0.0,41.532,2018,1,289,9,False,True
139,12.433,7.7,9.833,11.566,41.532,2018,0,353,43,False,True
140,12.633,7.766,9.566,11.466,41.431,2018,0,167,66,False,True
141,12.1,8.4,10.866,9.9,41.266,2018,0,36,66,False,True
142,0.0,14.433,13.233,13.2,40.866,2018,0,20,62,False,True
143,13.5,14.066,0.0,13.133,40.699,2018,0,184,80,False,True
144,13.433,14.058,13.05,0.0,40.541,2018,0,317,80,False,True
145,13.666,0.0,13.6,13.133,40.399,2018,0,243,28,False,True
146,12.066,8.666,8.533,11.066,40.331,2018,0,298,77,False,True
147,14.7,0.0,12.833,12.733,40.266,2018,0,309,11,False,True
148,13.2,8.666,8.766,9.4,40.032,2018,0,95,8,False,True
149,14.3,0.0,12.3,12.733,39.333,2018,0,16,80,False,True
150,13.833,0.0,12.233,13.233,39.299,2018,0,247,39,False,True
151,14.0,0.0,13.133,12.0,39.133,2018,0,307,80,False,True
