Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
84,federico molinari,ARG,5.6,8.766,0.0,2015,qual,14.36,0
85,rakesh patra,IND,5.8,8.566,0.0,2015,qual,14.36,0
86,nicola bartolini,ITA,5.9,8.466,0.0,2015,qual,14.36,0
87,thanh dinh phuong,VIE,6.2,8.166,0.0,2015,qual,14.36,0
88,heikki niva,FIN,5.6,8.733,0.0,2015,qual,14.33,0
89,maksym semiankiv,UKR,5.8,8.533,0.0,2015,qual,14.33,0
90,bart deurloo,NED,5.6,8.7,0.0,2015,qual,14.3,0
91,tomas kuzmickas,LTU,5.7,8.6,0.0,2015,qual,14.3,0
92,marian dragulescu,ROU,5.8,8.5,0.0,2015,qual,14.3,0
92,andrei ursache alexandru,ROU,5.8,8.5,0.0,2015,qual,14.3,0
94,fabian leimlehner,AUT,5.9,8.4,0.0,2015,qual,14.3,0
95,kieran behan,IRL,5.2,9.066,0.0,2015,qual,14.26,0
96,marios georgiou,CYP,5.5,8.766,0.0,2015,qual,14.26,0
97,wei yu chao,TPE,5.6,8.666,0.0,2015,qual,14.26,0
98,alexander shatilov,ISR,5.8,8.466,0.0,2015,qual,14.26,0
99,vladyslav hryko,UKR,5.9,8.366,0.0,2015,qual,14.26,0
100,lucas de souza bitencourt,BRA,6.0,8.266,0.0,2015,qual,14.26,0
101,filip ude,CRO,5.4,8.833,0.0,2015,qual,14.23,0
102,lukas kranzlmueller,AUT,5.5,8.7,0.0,2015,qual,14.2,0
103,caio campos souza,BRA,6.5,7.7,0.0,2015,qual,14.2,0
104,david vecsernyes,HUN,5.5,8.666,0.0,2015,qual,14.16,0
105,mykyta yermak,UKR,5.4,8.758,0.0,2015,qual,14.15,0
106,bernardo da costa almeida,POR,5.4,8.733,0.0,2015,qual,14.13,0
107,jeffrey wammes,NED,5.5,8.633,0.0,2015,qual,14.13,0
108,alberto tallon fernandez,ESP,5.6,8.533,0.0,2015,qual,14.13,0
109,andrew smith,IRL,5.4,8.7,0.0,2015,qual,14.1,0
110,gustavo palma simoes,POR,5.6,8.5,0.0,2015,qual,14.1,0
111,mattia tamiazzo,ITA,5.7,8.4,0.0,2015,qual,14.1,0
112,tommy ramos,PUR,5.4,8.633,0.0,2015,qual,14.03,0
