Rank,NOC,D,E,Pen.,Total,Name
100,LAT,5.400,8.400,0,13.800,Vitalijs KARDASOVS
101,BLR,6.100,7.800,0,13.800,Dzianis SANUVONH
102,ITA,6.300,7.500,0,13.800,Nicola BARTOLINI
103,UKR,5.600,8.191,0,13.791,Mykyta YERMAK
104,ESP,5.700,8.366,0,13.766,Ruben LOPEZ
105,CZE,5.700,8.066,0,13.766,David JESSEN
106,BEL,5.900,7.966,0,13.766,Jimmy VERBAEYS
107,ISR,6.000,7.766,0,13.766,Andrey MEDVEDEV
108,ARG,5.400,8.333,0,13.733,Osvaldo MARTINEZ ERAZUN
108,GRE,5.400,8.333,0,13.733,Nikolaos ILIOPOULOS
110,NED,5.900,7.833,0,13.733,Frank RIJKEN
111,IRL,6.200,7.533,0,13.733,Andrew SMITH
112,DEN,5.300,8.400,0,13.700,Marcus FRANDSEN
113,CZE,5.500,8.200,0,13.700,Martin KONECNY
114,BUL,5.600,8.083,0,13.683,Aleksandar BATINKOV
115,BRA,6.200,7.466,0,13.666,Arthur ZANETTI
116,ROU,6.700,6.966,0,13.666,Marian DRAGULESCU
117,LTU,4.900,8.733,0,13.633,Rokas GUSCINAS
118,TPE,5.400,8.333,0,13.633,Chiang HUANG Ko
119,BLR,5.600,8.233,0,13.633,Ilya YAKAULEU
120,KOR,6.000,7.633,0,13.633,Junho LEE
121,PUR,6.100,7.533,0,13.633,Alexis TORRES
122,CAN,5.700,8.216,0,13.616,Anderson LORAN
123,IND,6.400,7.416,0,13.616,Ashish KUMAR
124,BUL,5.400,8.200,0,13.600,Yordan ALEKSANDROV
125,TUR,5.800,7.800,0,13.600,Ferhat ARICAN
126,FIN,5.300,8.266,0,13.566,Heikki NIVA
127,TPE,5.400,8.166,0,13.566,Chien HSU Ping
127,TUR,5.400,8.166,0,13.566,Ibrahim COLAK
129,AUT,5.500,8.066,0,13.566,Fabian LEIMLEHNER
130,SVK,5.800,7.866,0,13.566,Ivan VARGOVSKY
131,THA,5.800,7.766,0,13.566,Tee KRIANGKUM Robert
132,POR,5.400,8.133,0,13.533,Bernardo da COSTA ALMEIDA
133,ISR,6.400,7.133,0,13.533,Artem DOLGOPYAT
134,ARG,5.400,8.100,0,13.500,Nicolas CORDOBA
135,DOM,6.200,7.283,0,13.483,Audrys NIN REYES
136,ARG,4.900,8.566,0,13.466,Federico MOLINARI
137,SWE,5.100,8.366,0,13.466,Michael TRANE
138,EGY,5.300,8.166,0,13.466,Mohamed AHMED Amr Essam
139,KAZ,5.700,7.741,0,13.441,Ilya KORNEV
140,KAZ,5.500,8.033,0,13.433,Stepan GORBACHEV
141,BEL,5.700,7.833,0,13.433,Maxime GENTGES
142,VEN,5.600,7.833,0,13.433,Junior ROJO MENDOZA
143,POR,5.800,7.733,0,13.433,Gustavo PALMA SIMOES
144,BLR,4.900,8.500,0,13.400,Aliaksandr TSAREVICH
145,SRB,5.200,8.300,0,13.400,Petar VELICKOVIC
146,AUS,5.500,8.200,0,13.400,Luke WIWATOWSKI
147,HUN,5.300,8.100,0,13.400,Vid HIDVEGI
147,SVK,5.300,8.100,0,13.400,Slavomir MICHNAK
149,CZE,5.500,8.000,0,13.400,Daniel RADOVESNICKY
150,KOR,5.500,7.933,0,13.333,Sangwook LEE
151,EGY,5.500,7.833,0,13.333,Sherif EL SAHARTY Mohamed
152,IRL,5.400,8.000,0,13.300,Jack NEILL
153,EGY,5.300,8.000,0,13.300,Ashraf ELMARAGHY Ahmed
154,CYP,5.600,7.800,0,13.300,Marios GEORGIOU
155,AZE,5.900,7.700,0,13.300,Oleg STEPKO
156,DEN,5.200,8.066,0,13.266,Joao FUGLSIG
157,LTU,5.100,8.133,0,13.233,Robert TVOROGAL
158,CHI,5.200,7.966,0,13.166,Juan RAFFO
159,UKR,5.800,7.366,0,13.166,Igor RADIVILOV
160,ALG,5.100,8.033,0,13.133,Hellal METIDJI
161,SLO,5.300,7.833,0,13.133,Alen DIMIC
162,KAZ,5.900,7.533,0,13.133,Nikolay NAM
163,ITA,5.900,7.233,0,13.133,Ludovico EDALLI
164,JPN,6.400,6.733,0,13.133,Naoto HAYASAKA
165,HUN,5.000,8.100,0,13.100,Norbert DUDAS
166,FRA,5.600,7.900,0,13.100,Axel AUGIS
167,HUN,5.200,7.866,0,13.066,David VECSERNYES
168,RUS,6.100,7.166,0,13.066,Nikolai KUKSENKOV
169,RUS,6.000,7.166,0,13.066,David BELYAVSKIY
170,RSA,5.200,8.133,0,13.033,Tiaan GROBLER
171,NZL,5.000,8.133,0,13.033,Devy DYSON
172,IND,5.000,8.033,0,13.033,Rakesh PATRA
173,LAT,5.200,7.833,0,13.033,Dmitrijs TREFILOVS
174,CHI,5.300,7.733,0,13.033,Christian BRUNO DECIDET
174,VEN,5.300,7.733,0,13.033,Jostyn FUENMAYOR BERROETA
176,CYP,4.800,8.200,0,13.000,Irodotos GEORGALLAS
177,GRE,5.300,7.800,0,13.000,Christos LYMPANOVNOS
178,MEX,5.400,7.666,0,12.966,Javier BALBOA GONZALEZ
179,QAT,4.900,8.033,0,12.933,Ahmed ALDYANI
180,SRB,5.100,7.800,0,12.900,Milos PAUNOVIC
181,CRC,5.600,7.300,0,12.900,Henry GONZALEZ VEGA
182,DEN,4.900,7.966,0,12.866,Joachim WINTHER
183,AUS,5.000,7.866,0,12.866,Naoya TSUKAHARA
184,VIE,5.500,7.366,0,12.866,Thanh DINH Phuong
185,MEX,5.900,7.266,0,12.866,Fabian de LUNA
186,SIN,5.400,7.433,0,12.833,Timothy TAY Kai Cheng
187,RUS,6.500,6.733,0,12.833,Denis ABLIAZIN
188,SIN,4.500,8.300,0,12.800,Gabriel GAN Zi Jie
189,IND,4.800,8.000,0,12.800,Siddharth VERMA
190,VIE,5.900,7.200,0,12.800,Hung PHAM Phuoc
191,SRB,4.900,7.875,0,12.775,Bojan DEJANOVIC
192,ALG,4.700,8.066,0,12.766,Mohamed REGHIB
193,NOR,5.900,6.866,0,12.766,Marcus CONRADI
194,NOR,5.300,7.400,0,12.700,Pietro GIACHINO
195,POR,5.800,7.200,0,12.700,Simao ALMEIDA
196,BEL,5.600,7.100,0,12.700,Bram LOUWIJE
197,AUT,5.700,7.000,0,12.700,Lukas KRANZLMUELLER
198,GEO,5.200,7.566,0,12.666,Paata NOZADZE
199,COL,6.500,6.366,0,12.666,Orlando CALVO MORENO Jossimar
200,NZL,5.800,6.800,0,12.600,David BISHOP
201,SLO,6.100,6.466,0,12.566,Rok KLAVORA
202,MAR,4.900,7.633,0,12.533,Rachid MOUSSA
203,GRE,5.100,7.400,0,12.500,Christos CHATZIEFSTATHIOU Georgios
204,UKR,5.500,7.000,0,12.500,Vladyslav HRYKO
205,PUR,5.300,7.266,0,12.466,Nestor RODRIGUEZ COLON
