Rank,NOC,D,E,Pen.,Total,Name
100,IRL,5.100,8.366,0,13.466,Andrew SMITH
101,AUS,5.400,8.066,0,13.466,Naoya TSUKAHARA
102,ISR,5.900,7.566,0,13.466,Artem DOLGOPYAT
103,MAR,4.900,8.533,0,13.433,Abderrazak NASSER
104,VIE,5.200,8.233,0,13.433,Thanh DINH Phuong
105,ESP,5.300,8.133,0,13.433,Ruben LOPEZ
106,JPN,5.600,7.833,0,13.433,Yusuke TANAKA
107,ESP,5.300,8.100,0,13.400,Adria VERA MORA
108,TPE,5.500,7.900,0,13.400,Chiang HUANG Ko
109,EGY,5.600,7.800,0,13.400,Mohamed AHMED Amr Essam
110,CHN,6.100,7.300,0,13.400,Shudi DENG
111,VIE,5.000,8.366,0,13.366,Hung PHAM Phuoc
112,TPE,5.300,8.066,0,13.366,Yu HUANG Ta
113,JAM,5.300,8.033,0,13.333,Reiss BECKFORD
114,ITA,5.000,8.300,0,13.300,Paolo OTTAVI
114,PUR,5.000,8.300,0,13.300,Rafael MORALES CASADO
116,NED,5.600,7.700,0,13.300,Casimir SCHMIDT
117,ROU,6.100,7.200,0,13.300,Marian DRAGULESCU
117,VEN,6.100,7.200,0,13.300,Luis FUENTES BUSTAMANTE Jose
119,CZE,5.100,8.166,0,13.266,Martin KONECNY
120,HUN,5.300,7.966,0,13.266,David VECSERNYES
121,ISR,5.600,7.666,0,13.266,Alexander SHATILOV
122,DEN,5.100,8.100,0,13.200,Marcus FRANDSEN
123,PRK,5.300,7.900,0,13.200,Gwang RI Se
124,UKR,5.400,7.800,0,13.200,Volodymyr OKACHEV
125,GER,6.000,7.200,0,13.200,Andreas TOBA
126,GRE,5.400,7.766,0,13.166,Vlasios MARAS
127,CUB,5.600,7.566,0,13.166,Randy LERU
128,UZB,5.700,7.466,0,13.166,Timur KADIROV
129,PRK,6.000,7.166,0,13.166,Mo RI Kwang
130,CZE,4.800,8.333,0,13.133,Daniel RADOVESNICKY
131,ALG,5.100,8.033,0,13.133,Mohamed REGHIB
132,KAZ,5.300,7.833,0,13.133,Nikolay NAM
132,NED,5.300,7.833,0,13.133,Epke ZONDERLAND
134,EGY,5.500,7.633,0,13.133,Sherif EL SAHARTY Mohamed
135,UZB,4.800,8.266,0,13.066,Eduard SHAULOV
136,CHI,5.100,7.966,0,13.066,Tomas GONZALEZ
136,CHN,5.100,7.966,0,13.066,Chenglong ZHANG
138,IND,5.700,7.366,0,13.066,Siddharth VERMA
139,LTU,4.700,8.333,0,13.033,Tomas KUZMICKAS
140,ALG,4.500,8.466,0,12.966,Abdeldjalil BOURGUIEG Mohamed
141,AUT,4.600,8.366,0,12.966,Vinzenz HOECK
142,PRK,5.200,7.766,0,12.966,Hyok HAN Jong
143,ARG,5.300,7.666,0,12.966,Nicolas CORDOBA
144,KOR,5.700,7.266,0,12.966,Hansol KIM
145,POR,5.200,7.733,0,12.933,Bernardo da COSTA ALMEIDA
145,SLO,5.200,7.733,0,12.933,Alen DIMIC
