Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
85,jim zona,FRA,5.5,8.433,0.0,2015,qual,13.93,0
85,oliver hegi,SUI,5.5,8.433,0.0,2015,qual,13.93,0
87,norbert dudas,HUN,5.7,8.233,0.0,2015,qual,13.93,0
88,jorge giraldo,COL,6.0,7.933,0.0,2015,qual,13.93,0
89,oleg stepko,AZE,6.2,7.733,0.0,2015,qual,13.93,0
90,stian skjerahaug,NOR,5.1,8.8,0.0,2015,qual,13.9,0
91,alexander shatilov,ISR,5.3,8.6,0.0,2015,qual,13.9,0
92,adam babos,HUN,5.4,8.5,0.0,2015,qual,13.9,0
93,kristian thomas,GBR,5.6,8.3,0.0,2015,qual,13.9,0
94,arnaud willig,FRA,5.7,8.2,0.0,2015,qual,13.9,0
95,jonathan vrolix,BEL,5.8,8.1,0.0,2015,qual,13.9,0
96,paata nozadze,GEO,4.9,8.966,0.0,2015,qual,13.86,0
97,frank rijken,NED,5.1,8.766,0.0,2015,qual,13.86,0
98,ludovico edalli,ITA,5.4,8.466,0.0,2015,qual,13.86,0
99,rakesh patra,IND,5.8,8.066,0.0,2015,qual,13.86,0
100,naoya tsukahara,AUS,6.1,7.766,0.0,2015,qual,13.86,0
101,chaopan lin,CHN,6.2,7.666,0.0,2015,qual,13.86,0
101,alberto tallon fernandez,ESP,6.2,7.666,0.0,2015,qual,13.86,0
103,levente vagner,HUN,5.1,8.733,0.0,2015,qual,13.83,0
104,ferhat arican,TUR,5.4,8.433,0.0,2015,qual,13.83,0
105,marian dragulescu,ROU,5.1,8.7,0.0,2015,qual,13.8,0
106,fabian leimlehner,AUT,5.2,8.6,0.0,2015,qual,13.8,0
107,vladyslav hryko,UKR,5.3,8.466,0.0,2015,qual,13.76,0
108,simao almeida,POR,5.6,8.166,0.0,2015,qual,13.76,0
109,orlando calvo moreno jossimar,COL,6.2,7.566,0.0,2015,qual,13.76,0
110,bernardo da costa almeida,POR,5.3,8.433,0.0,2015,qual,13.73,0
111,nikolaos iliopoulos,GRE,5.5,8.2,0.0,2015,qual,13.7,0
111,tung le thanh,VIE,5.5,8.2,0.0,2015,qual,13.7,0
113,andrey likhovitskiy,BLR,5.7,8.0,0.0,2015,qual,13.7,0
114,volodymyr okachev,UKR,5.1,8.566,0.0,2015,qual,13.66,0
115,marios georgiou,CYP,5.4,8.266,0.0,2015,qual,13.66,0
116,hugh smith jay,CAN,5.7,7.966,0.0,2015,qual,13.66,0
116,mykyta yermak,UKR,5.7,7.966,0.0,2015,qual,13.66,0
118,fabian de luna,MEX,6.2,7.466,0.0,2015,qual,13.66,0
