Rank,NOC,D,E,Pen.,Total,Name
96,CHI,5.400,8.133,0,13.533,Christian BRUNO DECIDET
97,ARG,5.500,8.033,0,13.533,Osvaldo MARTINEZ ERAZUN
98,ITA,6.200,7.333,0,13.533,Ludovico EDALLI
99,AUS,5.300,8.200,0,13.500,Naoya TSUKAHARA
100,SUI,5.500,8.000,0,13.500,Eddy YUSOF
101,AZE,5.900,7.600,0,13.500,Oleg STEPKO
102,ISR,5.300,8.166,0,13.466,Artem DOLGOPYAT
103,FIN,5.500,7.966,0,13.466,Oskar KIRMES
104,ESP,5.900,7.566,0,13.466,Adria VERA MORA
105,ALG,6.000,7.466,0,13.466,Mohamed REGHIB
106,COL,6.700,6.766,0,13.466,Orlando CALVO MORENO Jossimar
107,ALG,4.900,8.533,0,13.433,Abdeldjalil BOURGUIEG Mohamed
108,SVK,5.100,8.333,0,13.433,Slavomir MICHNAK
109,NZL,5.200,8.233,0,13.433,Devy DYSON
110,NZL,5.300,8.133,0,13.433,Mikhail KOUDINOV
111,BEL,4.700,8.700,0,13.400,Jonathan VROLIX
112,NOR,5.300,8.100,0,13.400,Marcus CONRADI
113,BUL,5.700,7.700,0,13.400,Yordan ALEKSANDROV
114,UKR,5.900,7.500,0,13.400,Volodymyr OKACHEV
115,UKR,6.200,7.200,0,13.400,Maksym SEMIANKIV
116,QAT,5.300,8.066,0,13.366,Ahmed ALDYANI
117,ALG,5.500,7.866,0,13.366,Hellal METIDJI
117,RUS,5.500,7.866,0,13.366,Nikita NAGORNYY
119,RUS,6.400,6.966,0,13.366,Ivan STRETOVICH
120,GRE,4.800,8.533,0,13.333,Christos CHATZIEFSTATHIOU Georgios
121,IRL,5.300,8.033,0,13.333,Andrew SMITH
121,NZL,5.300,8.033,0,13.333,David BISHOP
123,FIN,5.400,7.933,0,13.333,Heikki NIVA
,,,,0,Official Results Provider,
,,,,0,Page 3/6,22:07 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
124,KAZ,6.000,7.333,0,13.333,Stepan GORBACHEV
125,GRE,5.000,8.300,0,13.300,Christos LYMPANOVNOS
126,ARG,5.100,8.200,0,13.300,Federico MOLINARI
127,HUN,5.400,7.900,0,13.300,Vid HIDVEGI
128,CRC,5.600,7.700,0,13.300,Tarik SOTO BYFIELD
129,CHI,5.300,7.966,0,13.266,Tomas GONZALEZ
130,KAZ,5.700,7.566,0,13.266,Nikolay NAM
131,HUN,6.500,6.766,0,13.266,David VECSERNYES
132,POR,4.800,8.433,0,13.233,Simao ALMEIDA
133,TPE,5.200,8.033,0,13.233,Yu HUANG Ta
134,HKG,5.500,7.733,0,13.233,Hung SHEK Wai
135,ROU,5.900,7.333,0,13.233,Marian DRAGULESCU
136,BLR,5.000,8.200,0,13.200,Ilya YAKAULEU
137,GRE,5.200,8.000,0,13.200,Dimitrios MARKOUSIS
138,UKR,5.300,7.900,0,13.200,Vladyslav HRYKO
139,ARM,4.700,8.466,0,13.166,Artur DAVTYAN
140,HUN,5.100,8.066,0,13.166,Norbert DUDAS
141,BEL,5.900,7.266,0,13.166,Maxime GENTGES
142,IND,4.900,8.233,0,13.133,Rakesh PATRA
143,VIE,5.400,7.733,0,13.133,Tung le Thanh
143,VIE,5.400,7.733,0,13.133,Hung PHAM Phuoc
145,CAN,5.600,7.533,0,13.133,Kenneth IKEDA
146,THA,5.200,7.900,0,13.100,Tee KRIANGKUM Robert
147,ROU,5.500,7.600,0,13.100,Daniel BERBECAR Marius
148,ROU,5.700,7.366,0,13.066,Ioan BATAGA Cristian
149,GBR,5.700,7.333,0,13.033,Brinn BEVAN
149,KAZ,5.700,7.333,0,13.033,Ilya KORNEV
151,DEN,4.700,8.300,0,13.000,Joachim WINTHER
152,UKR,5.200,7.800,0,13.000,Mykyta YERMAK
153,MEX,5.500,7.500,0,13.000,Heron BONILLA RUIZ Rodolfo
154,BRA,6.800,6.175,0,12.975,Francisco BARRETTO JUNIOR
155,TPE,5.300,7.633,0,12.933,Kai LEE Chih
156,JAM,6.400,6.500,0,12.900,Reiss BECKFORD
157,DEN,4.500,8.366,0,12.866,Marcus FRANDSEN
157,SWE,4.500,8.366,0,12.866,Michael TRANE
159,MAR,4.700,8.166,0,12.866,Hamza HOSSAINI
160,IND,4.600,8.233,0,12.833,Siddharth VERMA
161,AUT,5.200,7.600,0,12.800,Vinzenz HOECK
162,AUT,5.700,7.100,0,12.800,Fabian LEIMLEHNER
163,UZB,4.700,8.066,0,12.766,Eduard SHAULOV
164,ROU,5.700,7.066,0,12.766,Vasile MUNTEAN Andrei
,,,,0,Official Results Provider,
,,,,0,Page 4/6,22:07 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
165,TUR,4.400,8.333,0,12.733,Ibrahim COLAK
166,TPE,5.000,7.700,0,12.700,Wei YU Chao
167,LAT,5.200,7.500,0,12.700,Vitalijs KARDASOVS
168,MAR,4.600,8.066,0,12.666,Rachid MOUSSA
169,BLR,5.400,7.266,0,12.666,Dzianis SANUVONH
170,DEN,4.200,8.433,0,12.633,Joao FUGLSIG
171,RSA,4.600,8.033,0,12.633,Tiaan GROBLER
172,HUN,5.400,7.200,0,12.600,Levente VAGNER
173,EGY,5.300,7.266,0,12.566,Sherif EL SAHARTY Mohamed
174,ESP,5.500,7.066,0,12.566,Andres MARTIN MARTIN
175,LTU,5.600,6.966,0,12.566,Rokas GUSCINAS
176,ESP,6.400,6.166,0,12.566,Nestor ABAD
177,BUL,4.400,8.133,0,12.533,Martin ANGELOV
178,ITA,5.300,7.233,0,12.533,Nicola BARTOLINI
178,VIE,5.300,7.233,0,12.533,Thanh DINH Phuong
180,BEL,5.500,7.000,0,12.500,Jimmy VERBAEYS
181,CZE,4.900,7.533,0,12.433,Daniel RADOVESNICKY
182,NED,5.100,7.333,0,12.433,Casimir SCHMIDT
183,PUR,5.600,6.833,0,12.433,Tommy RAMOS
184,VEN,4.800,7.566,0,12.366,Jostyn FUENMAYOR BERROETA
185,JAM,5.600,6.766,0,12.366,Caleb FAULK
186,HKG,4.100,8.233,0,12.333,Hin JIM Man
187,POL,5.600,6.733,0,12.333,Adam RZEPA
188,PUR,5.000,7.300,0,12.300,Alexis TORRES
189,AZE,5.700,6.533,0,12.233,Petro PAKHNYUK
190,BLR,6.300,5.933,0,12.233,Aliaksandr TSAREVICH
191,URU,4.100,8.066,0,12.166,Cristhian MENESES PASSARO
192,IND,4.400,7.766,0,12.166,Ashish KUMAR
193,SIN,4.800,7.366,0,12.166,Timothy TAY Kai Cheng
194,EGY,5.300,6.866,0,12.166,Mohamed AHMED Amr Essam
194,VEN,5.300,6.866,0,12.166,Junior ROJO MENDOZA
196,IRL,3.500,8.600,0,12.100,Jack NEILL
197,UZB,5.100,7.000,0,12.100,Anton FOKIN
198,SIN,4.300,7.633,0,11.933,Gabriel GAN Zi Jie
199,HUN,4.900,7.033,0,11.933,Adam BABOS
200,GEO,3.500,8.366,0,11.866,Paata NOZADZE
201,PUR,4.900,6.933,0,11.833,Tristian PEREZ RIVERA
202,MEX,5.700,6.100,0,11.800,Javier BALBOA GONZALEZ
203,ISL,4.200,7.566,0,11.766,Jon GUNNARSSON
204,ISR,5.900,5.866,0,11.766,Alexander SHATILOV
205,MAR,4.100,7.633,0,11.733,Abderrazak NASSER
