Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
85,mattia tamiazzo,ITA,5.9,7.733,0.0,2015,qual,13.63,0
86,laurentiu nistor ioan,ROU,6.2,7.433,0.0,2015,qual,13.63,0
87,brandon wynn,USA,5.4,8.2,0.0,2015,qual,13.6,0
88,ferhat arican,TUR,5.5,8.1,0.0,2015,qual,13.6,0
89,max whitlock,GBR,6.3,7.3,0.0,2015,qual,13.6,0
90,alberto tallon fernandez,ESP,5.4,8.166,0.0,2015,qual,13.56,0
90,bernardo da costa almeida,POR,5.4,8.166,0.0,2015,qual,13.56,0
92,anderson loran,CAN,6.2,7.366,0.0,2015,qual,13.56,0
93,hyok han jong,PRK,6.3,7.266,0.0,2015,qual,13.56,0
94,frank rijken,NED,5.3,8.233,0.0,2015,qual,13.53,0
94,stian skjerahaug,NOR,5.3,8.233,0.0,2015,qual,13.53,0
96,christian bruno decidet,CHI,5.4,8.133,0.0,2015,qual,13.53,0
97,osvaldo martinez erazun,ARG,5.5,8.033,0.0,2015,qual,13.53,0
98,ludovico edalli,ITA,6.2,7.333,0.0,2015,qual,13.53,0
99,naoya tsukahara,AUS,5.3,8.2,0.0,2015,qual,13.5,0
100,eddy yusof,SUI,5.5,8.0,0.0,2015,qual,13.5,0
101,oleg stepko,AZE,5.9,7.6,0.0,2015,qual,13.5,0
102,artem dolgopyat,ISR,5.3,8.166,0.0,2015,qual,13.46,0
103,oskar kirmes,FIN,5.5,7.966,0.0,2015,qual,13.46,0
104,adria vera mora,ESP,5.9,7.566,0.0,2015,qual,13.46,0
105,mohamed reghib,ALG,6.0,7.466,0.0,2015,qual,13.46,0
106,orlando calvo moreno jossimar,COL,6.7,6.766,0.0,2015,qual,13.46,0
107,abdeldjalil bourguieg mohamed,ALG,4.9,8.533,0.0,2015,qual,13.43,0
108,slavomir michnak,SVK,5.1,8.333,0.0,2015,qual,13.43,0
109,devy dyson,NZL,5.2,8.233,0.0,2015,qual,13.43,0
110,mikhail koudinov,NZL,5.3,8.133,0.0,2015,qual,13.43,0
111,jonathan vrolix,BEL,4.7,8.7,0.0,2015,qual,13.4,0
112,marcus conradi,NOR,5.3,8.1,0.0,2015,qual,13.4,0
113,yordan aleksandrov,BUL,5.7,7.7,0.0,2015,qual,13.4,0
114,volodymyr okachev,UKR,5.9,7.5,0.0,2015,qual,13.4,0
115,maksym semiankiv,UKR,6.2,7.2,0.0,2015,qual,13.4,0
116,ahmed aldyani,QAT,5.3,8.066,0.0,2015,qual,13.36,0
117,hellal metidji,ALG,5.5,7.866,0.0,2015,qual,13.36,0
117,nikita nagornyy,RUS,5.5,7.866,0.0,2015,qual,13.36,1
119,ivan stretovich,RUS,6.4,6.966,0.0,2015,qual,13.36,0
120,christos chatziefstathiou georgios,GRE,4.8,8.533,0.0,2015,qual,13.33,0
121,andrew smith,IRL,5.3,8.033,0.0,2015,qual,13.33,0
121,david bishop,NZL,5.3,8.033,0.0,2015,qual,13.33,0
123,heikki niva,FIN,5.4,7.933,0.0,2015,qual,13.33,0
124,stepan gorbachev,KAZ,6.0,7.333,0.0,2015,qual,13.33,0
125,christos lympanovnos,GRE,5.0,8.3,0.0,2015,qual,13.3,0
126,federico molinari,ARG,5.1,8.2,0.0,2015,qual,13.3,0
127,vid hidvegi,HUN,5.4,7.9,0.0,2015,qual,13.3,0
128,tarik soto byfield,CRC,5.6,7.7,0.0,2015,qual,13.3,0
129,tomas gonzalez,CHI,5.3,7.966,0.0,2015,qual,13.26,0
130,nikolay nam,KAZ,5.7,7.566,0.0,2015,qual,13.26,0
131,david vecsernyes,HUN,6.5,6.766,0.0,2015,qual,13.26,0
132,simao almeida,POR,4.8,8.433,0.0,2015,qual,13.23,0
133,yu huang ta,TPE,5.2,8.033,0.0,2015,qual,13.23,0
134,hung shek wai,HKG,5.5,7.733,0.0,2015,qual,13.23,0
135,marian dragulescu,ROU,5.9,7.333,0.0,2015,qual,13.23,0
136,ilya yakauleu,BLR,5.0,8.2,0.0,2015,qual,13.2,0
137,dimitrios markousis,GRE,5.2,8.0,0.0,2015,qual,13.2,0
