Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
84,oskar kirmes,FIN,5.4,8.266,0.0,2015,qual,13.66,0
85,adam babos,HUN,5.6,8.066,0.0,2015,qual,13.66,0
86,adam rzepa,POL,5.5,8.133,0.0,2015,qual,13.63,0
87,naoto hayasaka,JPN,6.0,7.633,0.0,2015,qual,13.63,0
88,norbert dudas,HUN,5.6,8.0,0.0,2015,qual,13.6,0
88,tristian perez rivera,PUR,5.6,8.0,0.0,2015,qual,13.6,0
90,daniel corral,MEX,6.0,7.6,0.0,2015,qual,13.6,0
91,petro pakhnyuk,AZE,6.4,7.2,0.0,2015,qual,13.6,0
92,mikhail koudinov,NZL,5.1,8.466,0.0,2015,qual,13.56,0
93,alberto tallon fernandez,ESP,5.6,7.966,0.0,2015,qual,13.56,0
94,anderson loran,CAN,5.7,7.866,0.0,2015,qual,13.56,0
95,hung shek wai,HKG,5.3,8.233,0.0,2015,qual,13.53,0
96,jim zona,FRA,5.4,8.133,0.0,2015,qual,13.53,0
97,nikolaos iliopoulos,GRE,5.6,7.933,0.0,2015,qual,13.53,0
98,ludovico edalli,ITA,5.7,7.833,0.0,2015,qual,13.53,0
99,nestor abad,ESP,6.1,7.4,0.0,2015,qual,13.5,0
100,andrew smith,IRL,5.1,8.366,0.0,2015,qual,13.46,0
101,naoya tsukahara,AUS,5.4,8.066,0.0,2015,qual,13.46,0
102,artem dolgopyat,ISR,5.9,7.566,0.0,2015,qual,13.46,0
103,abderrazak nasser,MAR,4.9,8.533,0.0,2015,qual,13.43,0
104,thanh dinh phuong,VIE,5.2,8.233,0.0,2015,qual,13.43,0
105,ruben lopez,ESP,5.3,8.133,0.0,2015,qual,13.43,0
106,yusuke tanaka,JPN,5.6,7.833,0.0,2015,qual,13.43,0
107,adria vera mora,ESP,5.3,8.1,0.0,2015,qual,13.4,0
108,chiang huang ko,TPE,5.5,7.9,0.0,2015,qual,13.4,0
109,mohamed ahmed amr essam,EGY,5.6,7.8,0.0,2015,qual,13.4,0
110,shudi deng,CHN,6.1,7.3,0.0,2015,qual,13.4,0
111,hung pham phuoc,VIE,5.0,8.366,0.0,2015,qual,13.36,0
112,yu huang ta,TPE,5.3,8.066,0.0,2015,qual,13.36,0
113,reiss beckford,JAM,5.3,8.033,0.0,2015,qual,13.33,0
114,paolo ottavi,ITA,5.0,8.3,0.0,2015,qual,13.3,0
114,rafael morales casado,PUR,5.0,8.3,0.0,2015,qual,13.3,0
116,casimir schmidt,NED,5.6,7.7,0.0,2015,qual,13.3,0
117,marian dragulescu,ROU,6.1,7.2,0.0,2015,qual,13.3,0
117,luis fuentes bustamante jose,VEN,6.1,7.2,0.0,2015,qual,13.3,0
119,martin konecny,CZE,5.1,8.166,0.0,2015,qual,13.26,0
120,david vecsernyes,HUN,5.3,7.966,0.0,2015,qual,13.26,0
121,alexander shatilov,ISR,5.6,7.666,0.0,2015,qual,13.26,0
122,marcus frandsen,DEN,5.1,8.1,0.0,2015,qual,13.2,0
123,gwang ri se,PRK,5.3,7.9,0.0,2015,qual,13.2,0
124,volodymyr okachev,UKR,5.4,7.8,0.0,2015,qual,13.2,0
125,andreas toba,GER,6.0,7.2,0.0,2015,qual,13.2,0
126,vlasios maras,GRE,5.4,7.766,0.0,2015,qual,13.16,0
127,randy leru,CUB,5.6,7.566,0.0,2015,qual,13.16,0
128,timur kadirov,UZB,5.7,7.466,0.0,2015,qual,13.16,0
129,mo ri kwang,PRK,6.0,7.166,0.0,2015,qual,13.16,0
130,daniel radovesnicky,CZE,4.8,8.333,0.0,2015,qual,13.13,0
131,mohamed reghib,ALG,5.1,8.033,0.0,2015,qual,13.13,0
132,nikolay nam,KAZ,5.3,7.833,0.0,2015,qual,13.13,0
132,epke zonderland,NED,5.3,7.833,0.0,2015,qual,13.13,0
134,sherif el saharty mohamed,EGY,5.5,7.633,0.0,2015,qual,13.13,0
135,eduard shaulov,UZB,4.8,8.266,0.0,2015,qual,13.06,0
136,tomas gonzalez,CHI,5.1,7.966,0.0,2015,qual,13.06,0
136,chenglong zhang,CHN,5.1,7.966,0.0,2015,qual,13.06,0
138,siddharth verma,IND,5.7,7.366,0.0,2015,qual,13.06,0
139,tomas kuzmickas,LTU,4.7,8.333,0.0,2015,qual,13.03,0
140,abdeldjalil bourguieg mohamed,ALG,4.5,8.466,0.0,2015,qual,12.96,0
141,vinzenz hoeck,AUT,4.6,8.366,0.0,2015,qual,12.96,0
142,hyok han jong,PRK,5.2,7.766,0.0,2015,qual,12.96,0
143,nicolas cordoba,ARG,5.3,7.666,0.0,2015,qual,12.96,0
144,hansol kim,KOR,5.7,7.266,0.0,2015,qual,12.96,0
145,bernardo da costa almeida,POR,5.2,7.733,0.0,2015,qual,12.93,0
145,alen dimic,SLO,5.2,7.733,0.0,2015,qual,12.93,0
147,audrys nin reyes,DOM,4.9,8.0,0.0,2015,qual,12.9,0
148,dzianis sanuvonh,BLR,5.1,7.8,0.0,2015,qual,12.9,0
148,ashraf elmaraghy ahmed,EGY,5.1,7.8,0.0,2015,qual,12.9,0
150,heikki niva,FIN,5.2,7.7,0.0,2015,qual,12.9,0
151,devy dyson,NZL,5.4,7.5,0.0,2015,qual,12.9,0
152,nikita ignatyev,RUS,5.8,7.1,0.0,2015,qual,12.9,0
153,jack neill,IRL,5.1,7.766,0.0,2015,qual,12.86,0
154,wei yu chao,TPE,4.3,8.5,0.0,2015,qual,12.8,0
155,tarik soto byfield,CRC,5.1,7.7,0.0,2015,qual,12.8,0
156,chien hsu ping,TPE,5.7,7.1,0.0,2015,qual,12.8,0
157,bojan dejanovic,SRB,4.8,7.933,0.0,2015,qual,12.73,0
158,andres martinez moreno,COL,5.5,7.233,0.0,2015,qual,12.73,0
159,lukas kranzlmueller,AUT,4.4,8.3,0.0,2015,qual,12.7,0
160,david bishop,NZL,4.6,8.1,0.0,2015,qual,12.7,0
161,juan raffo,CHI,5.4,7.3,0.0,2015,qual,12.7,0
162,petar velickovic,SRB,4.9,7.766,0.0,2015,qual,12.66,0
163,claudio capelli,SUI,5.4,7.266,0.0,2015,qual,12.66,0
164,alexis torres,PUR,5.6,7.066,0.0,2015,qual,12.66,0
165,paolo principi,ITA,6.1,6.566,0.0,2015,qual,12.66,0
166,ryan patterson,RSA,4.8,7.833,0.0,2015,qual,12.63,0
167,caio campos souza,BRA,6.1,6.533,0.0,2015,qual,12.63,0
168,daniel aguero barrera,PER,4.9,7.7,0.0,2015,qual,12.6,0
169,kevin cerda gastelum,MEX,5.3,7.3,0.0,2015,qual,12.6,0
170,marcus conradi,NOR,5.4,7.2,0.0,2015,qual,12.6,0
171,michael trane,SWE,4.3,8.266,0.0,2015,qual,12.56,0
172,milos paunovic,SRB,4.7,7.866,0.0,2015,qual,12.56,0
173,joao fuglsig,DEN,4.3,8.233,0.0,2015,qual,12.53,0
174,stepan gorbachev,KAZ,5.1,7.433,0.0,2015,qual,12.53,0
175,vasile muntean andrei,ROU,5.4,7.133,0.0,2015,qual,12.53,0
176,christopher brooks,USA,5.8,6.733,0.0,2015,qual,12.53,0
177,tee kriangkum robert,THA,5.3,7.2,0.0,2015,qual,12.5,0
178,javier cervantes quezada,MEX,6.1,6.4,0.0,2015,qual,12.5,0
179,samuel piasecky,SVK,5.0,7.466,0.0,2015,qual,12.46,0
180,irodotos georgallas,CYP,4.3,8.1,0.0,2015,qual,12.4,0
181,kevin crovetto,MON,4.0,8.3,0.0,2015,qual,12.3,0
182,maurcio gallegos chacon,PER,5.4,6.9,0.0,2015,qual,12.3,0
183,oleg stepko,AZE,6.0,6.3,0.0,2015,qual,12.3,0
184,donnell whittenburg,USA,5.3,6.966,0.0,2015,qual,12.26,0
185,hamza hossaini,MAR,4.1,8.133,0.0,2015,qual,12.23,0
186,rakesh patra,IND,4.3,7.933,0.0,2015,qual,12.23,0
187,erdenebold ganbat,MGL,4.7,7.466,0.0,2015,qual,12.16,0
188,daniel berbecar marius,ROU,5.0,7.166,0.0,2015,qual,12.16,0
189,caleb faulk,JAM,4.0,8.133,0.0,2015,qual,12.13,0
189,ibrahim colak,TUR,4.0,8.133,0.0,2015,qual,12.13,0
191,jimmy verbaeys,BEL,4.9,7.233,0.0,2015,qual,12.13,0
192,eleftherios petrounias,GRE,5.3,6.766,0.0,2015,qual,12.06,0
193,joachim winther,DEN,4.6,7.366,0.0,2015,qual,11.96,0
194,paul ruggeri iii,USA,5.0,6.966,0.0,2015,qual,11.96,0
195,carlos calvo,COL,5.6,6.333,0.0,2015,qual,11.93,0
196,christos lympanovnos,GRE,5.3,6.6,0.0,2015,qual,11.9,0
197,kieran behan,IRL,4.2,7.633,0.0,2015,qual,11.83,0
198,luis pizarro silva,PER,5.7,6.133,0.0,2015,qual,11.83,0
199,sangwook lee,KOR,5.3,6.466,0.0,2015,qual,11.76,0
200,federico molinari,ARG,4.1,7.6,0.0,2015,qual,11.7,0
201,fabian leimlehner,AUT,5.0,6.633,0.0,2015,qual,11.63,0
202,ashish kumar,IND,5.6,6.033,0.0,2015,qual,11.63,0
203,yordan aleksandrov,BUL,5.0,6.6,0.0,2015,qual,11.6,0
204,aliaksandr tsarevich,BLR,5.6,5.933,0.0,2015,qual,11.53,0
205,chung ng kiu,HKG,4.2,7.3,0.0,2015,qual,11.5,0
